afg_dist,wheat_local_price_median,wheat_imported_price_median,local_rice_price_median,veg_oil_price_median,pulses_lentils_price_median,pulses_beans_price_median,pulses_split_peas_price_median,salt_price_median,sugar_price_median,tomatoes_price_median,potatoes_price_median,onions_price_median,eggs_price_median,cotton_cloth_price_median,toothbrush_adult_price_median,toothpaste_price_median,sanitary_pad_price_median,washing_detergent_price_median,soap_price_median,bleach_price_median,safe_water_price_median,jerrycan_price_median,firewood_price_median,kindling_price_median,fuel_gel_price_median,cooking_fuel_price_median
maydan_shahr,34,36,43,106,70,110.5,65,12,50,NA,NA,NA,NA,NA,20,25,NA,47.5,28,55,24,NA,NA,NA,NA,NA
maymana,35,36,50,96,70,120,50,22.5,50,20,30,20,10,100,45,50,60,50,50,70,13.3333333333333,90,12,15,80,45
mazar_e_sharif,32.25,35,50,100,71.4583333333333,120,42.8571428571429,25,50,25,26,20,6.45833333333333,70,20,38.75,45,50,23,57.5,6.75,77.5,11.7142857142857,14.6428571428571,60,40
mehtarlam,32.5,33.4,62.5,109.5,42.5,120,88.5,18.5,50,19,20,10,6,60,32,50,NA,62.5,27.5,62.5,20,NA,NA,NA,NA,40
mohammad_agha,36.734693877551,37.7551020408163,43.5,107.5,60,103.571428571429,85,9.64285714285714,50.7142857142857,17.1428571428571,22.8571428571429,10,6,37.5,10.8333333333333,27.9166666666667,60,49,32.5,56,11.25,80,NA,NA,NA,50
muqur_badghis,35.4,36,96,116,60,140,40,10,60,40,25,25,6.5,65,20,30,50,50,35,38,20,100,15,12.25,45.3333333333333,46.5
nad_e_ali,32,35,NA,111,75,133,75.5,15,55,12,22.5,12,6,NA,25,30,60,60,30,52.5,13.3333333333333,87.5,5,NA,NA,39
nahr_e_saraj,34,41.5,62,110,55,133,50,14,55,10,25,9,6,140,30,41,46.6666666666667,60,40,60,13.3333333333333,85,5,7,75,40
nahr_e_shahi,28,34.5,50,105,70,130,50,20,55,27.5,27.5,20,9,NA,25,32.5,30,60,30,43.3333333333333,13.3333333333333,NA,10.7142857142857,11.4285714285714,70,41.5
nahrin,36,40,43,109,NA,116,NA,28,50,30,18,20,8,NA,20,30,NA,50,22.5,NA,13.3333333333333,NA,NA,NA,NA,NA
nawa_e_barakzaiy,32,45,45,115,53.5,135,51,15,50,8,25,7,6.5,168,25,30,45.8333333333333,40,30,65,13.3333333333333,100,6,15,60,41
