afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median
mazar_e_sharif,27,32.700000000000003,47.5,87.5,62.5,100,45,12.5,50,60,25,20,9.5,100,20,30,35,50,20,60,45,9.2857142857142794,"NA",55
mehtarlam,34.5833333333333,35.1,35.714285714285701,91,64.285714285714306,100,80,8.33333333333333,46.4285714285714,42.857142857142897,14.2857142857143,14.2857142857143,7.70833333333333,77.5,27.5,60,77.5,70,37.5,85,300,10,9.6428571428571406,55
miramor,35.9,39.4,65,96.4375,49,92.5,55,18,62.5,50,25.7142857142857,25,11.5,122.5,24.5,50,60,45,30,62.5,80,13.9285714285714,14.285714285714301,75
mohammad_agha,34.081632653061199,35,92.5,91.25,67.5,107.5,80,10,46.5,50,22.5,17.8571428571429,8.66666666666667,90,25,40.4166666666667,45,75,37.5,48.3333333333333,80,14.0178571428571,12.285714285714301,61.25
muqur_badghis,30,38,80,90,47.5,70,49,17,60,50,21.25,18.125,9.5,57.5,20,47.5,"NA",18,20,"NA",50,10.9375,"NA",70
nad_e_ali,31,40,97.5,83.5,86,123.5,55,11.5,50,39.5,23,16.5,8,155.5,29.5,35,54,42.5,30,54.5,"NA",15.5,25,58
nahr_e_saraj,35,30,60,91.35,52,98.6,38,10,40,40,14,10,10,130,25,90,40,50,30,65,"NA",10,"NA",52
nahr_e_shahi,28,33,50,86.5,70,100,50,12.5,50,65,25,20,10,115,20,45,32.5,52.5,25,60,50,10,"NA",55
nahrin,33,38.571428571428598,38.571428571428598,90,70,90,50,11.4285714285714,50,60,21.4285714285714,10,9,"NA",20,30,"NA",50,20,60,"NA",7.8571428571428603,14.285714285714301,"NA"
nawa_e_barakzaiy,31.5,39.5,97,82,86,123.5,55,11,50,40,22.5,16,8,154,34,37.5,51.5,44,37.5,56,"NA",16,25.5,55
nili,"NA",37.5,86,95.9375,70.714285714285694,120,80,20,60,60,21.7142857142857,20,10,77.5,36.5,60,60,62.5,42.5,92.5,107.5,16.071428571428601,18.571428571428601,62.5
onaba_anawa,"NA",37.5,92.5,127.5,"NA",110,50,7.5,52,"NA",27.5,20,9.5,"NA",32.5,30,"NA",75,25,"NA",50,"NA","NA","NA"
paghman,31,35,45,125,79,110,90,20,50,30,21.4285714285714,16,10,125,25,45,100,50,30,45,20,17.1428571428571,17.1428571428571,55
pul_e_alam,33.979591836734699,35.700000000000003,87,90,77.5,100,85.714285714285694,10.5,46,44.285714285714299,22.4285714285714,17.1428571428571,9,75,25.4166666666667,50,80,73.3333333333333,30,51.6666666666667,80,20.408163265306101,17.8571428571429,60
pul_e_khumri,32.782738095238102,34.857142857142897,40,94,80,100,42.857142857142897,25,50,50,21.4285714285714,14.2857142857143,10,"NA",25,35,40,70,27.5,65,"NA","NA","NA","NA"
qadis,21.875,25,77.5,80,90,120,60,10,50,50,20,15,10,120,35,60,"NA",55,30,57.5,"NA","NA","NA",50
qala_e_naw,26,36.65,90,89.75,67.5,127.5,40,8.5,50,45,25,15.5,10,40,20,15,30,50,17,55,20,13,9.71428571428571,55
qarabagh,30,35,40,125,80,120,90,20,50,75,20,16,10,75,15,38,40,50,25,45,50,"NA","NA",55
qarghayi,33.3333333333333,34.6,35.714285714285701,90,44.285714285714299,112.857142857143,77.142857142857096,10,49.2857142857143,41.428571428571402,14.2857142857143,14.2857142857143,7.91666666666667,78.75,30,60,80,27,37.5,77.5,300,10,9.6428571428571406,55
rukha,"NA",38,97.5,130,"NA",115,55,10,55,60,30,20,10,"NA",35,30,"NA",75,35,"NA",50,"NA","NA","NA"
sancharak,30,35.5,50,97.5,70,95,40,9,50,57.5,25,15,9,240,20,30,50,45,20,60,30,12,14,55
sang_e_takht,39.5,42,"NA",95,37,79,50.5,22.5,58,37.5,30,34,17.5,125,22.5,45,50,52.5,35,47.5,35,22.5,22.8571428571429,95
sar_e_pul,25,35,42.5,90,70,100,45,9,50,50,25,15,10,240,20,30,40,50,20,60,30,10,11.5,55
sayd_khel,34,35,35,116,60,107,76,14,50,50,25,15,10,43,20,30,55,60,30,65,"NA",16,16,60
sayed_karam,35,35.6,73,106.25,81.428571428571402,97.1428571428571,81.428571428571402,10,51.4285714285714,55.714285714285701,28.5714285714286,28.5714285714286,10,35,35,90,90,60,50,140,80,20,21.428571428571399,62.5
shahrestan,"NA",37.299999999999997,95,100,70,107.5,50,17.5,57.5,75,25,22.5,10,45,30,50,50,50,37.5,97.5,"NA",15,20,70
shibar,34,35,50,112,70,118,90,22,52,75,30,30,10,85,40,32.5,"NA",49,30,47.5,"NA","NA","NA",68
shiberghan,33,35,50,92.5,67.5,100,40,10,50,60,25,20,11,120,30,52.5,52.5,50,20,60,20,12.0714285714286,13.5,55
sholgareh,29.5,33.5,45,87.5,62.5,105,40,15,52.5,47.5,25,15,11,135,15,25,50,50,22.5,60,"NA",8.5714285714285694,"NA",57.5
shortepa,32,34.5,41.428571428571402,93,77.5,100,40,17.5,55,60,24.6428571428571,12.5,11,100,17.5,50,50,50,20,50,65,7.1428571428571397,7.1428571428571397,"NA"
spinboldak,31.25,37.5,77,87.5,70,115,68,18.75,50,27.5,24,11.5,9.5,50,55,80,65,50,34,42.5,50,15.5,15,51.5
surkhrod,33.3333333333333,34.6,35,90,74.285714285714306,95,73,12,45,24,18,18,9,75,30,50,60,60,30,55,80,11,12,60
surobi,34,36,47.5,97.5,65,110,65,20,52.5,67.5,20,17.5,9.5,"NA",25,45,50,55,35,60,40,"NA","NA",55
taloqan,34.285714285714299,38.571428571428598,50,128,50,100,42.857142857142897,14.2857142857143,51.4285714285714,64.285714285714306,21.4285714285714,17.1428571428571,10,100,20,30,50,70,30,120,50,8.8571428571428594,11.4285714285714,55
waras,37,37,60,112,88,115,95,20,60,75,30,30,9,87.5,45,50,47.5,52.5,32.5,70,355,16.071428571428601,18.214285714285701,68
yakawlang,33.5,35,80.5,84,66.5,116.5,78.5,19,50,51.5,25.5,25,11,117.5,35,45,40,61,18,65,"NA",13.5,20.5,67.5
zaranj,32.700000000000003,36.9,72.5,95,92.5,117.5,50,6.5,55,30,20,14.5,9,"NA","NA","NA","NA",37.5,40,35,25,12.75,12.5,55
zindajan,36,39.5,70,89,57.5,110,65,5,50,38,17,15,10,45,20,30,30,45,20,38,"NA",7.28571428571429,7.3571428571428603,50
