afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
khwaja_ghar,32,36,40,85,NA,108,37,6,52,21,19,12,7,60,20,20,50,80,20,60,13.3333333333333,177.777777777778,9,8,60,37
kunduz,30,35,39.2857142857143,99,70,100,58.5714285714286,20,50,20,15.7142857142857,11.4285714285714,7,48.75,27.5,55,50,50,25,60,10,200,12.8571428571429,11.7142857142857,55,58.5714285714286
kushk,27,34,72.5,85,50,120,45,10,50,20,15,13,7,62.5,25,64,40,40,30,52.5,13.3333333333333,177.777777777778,19,15,50,45
kuz_kunar,31.3333333333333,32.8,33.5714285714286,79,73.9795918367347,107.857142857143,40,9.44444444444444,46.4285714285714,17.1428571428571,20,13.5714285714286,6.83333333333333,NA,18.3333333333333,47.5,NA,40,27.5,60,10,200,7.14285714285714,9.64285714285714,57.5,40
lal_wa_sarjangal,31.5,37.5,60,95,60,120,50,15,60,40,20,20,7.5,140,50,60,30,55,20,50,13.5,270,19,20,60,50
lashkargah,29.5,35,67,74,58,119,40,10,47,10,14,19,8.66666666666667,130,25,40,40,47.5,32.5,50,15.5,350,10,10.5,52.5,40
mahmud_e_raqi,35.5,33.5,55,82.5,50,105,85,25,44,20,20,14,7,NA,15,17.5,32.5,45,30,45,20,800,NA,NA,NA,50
malestan,35,36,50,90,70,78,80,20,54,20,13,13,7,80,20,50,60,40,30,50,20,800,14,13,55,70
mandozayi,31.5,33.5,41.5,90,70.8333333333333,107.5,47.5,10.7142857142857,50,20,22,15,7,132.5,27.5,60,52.5,45,65,127.5,20,800,16.5714285714286,16.8571428571429,50,47.5
matun_shahr,33,34,38,86.5,77.5,110,75,8.07142857142857,44,21,21,15,6,30,40,55,50,34,60,52.5,10,200,14.4285714285714,15.5,55,72
maydan_shahr,31,33,44.5,91,70,115.5,85,17.5,50,20,25,15,7,70,30,35,50,40,30,60,17,680,11,14,55,70
maymana,37.7777777777778,37,38,90,60,110,45,13.3333333333333,60,25,25,15,10,120,30,100,40,50,50,60,15,300,14,15,60,45
mazar_e_sharif,30,35,50,95,65,110,40,13.3333333333333,55,30,25,21,7,60,25,25,25,56.6666666666667,30,60,4.5,4.5,17.5,18,55,40
mehtarlam,32.5,32.9,35,80,50,95,51.9387755102041,9.14285714285714,48.5714285714286,17.1428571428571,18.5714285714286,8.57142857142857,7.04166666666667,82.5,16.5,50,60,44,37.5,60,20,800,8.57142857142857,7.85714285714286,55,42.8571428571429
miramor,35.5,37,52.5,100,65,115,65.5,25,59,30,20,20,7.5,100,50,50,60,53.5,32.5,70,30,1200,NA,NA,67,62.5
mohammad_agha,30.9081632653061,34.8469387755102,80.625,96.875,80,112.857142857143,71.4285714285714,18.5714285714286,50,17.5,22.5,15,6,100,20,40,30,45,20,40,10,200,12.1428571428571,11.6071428571429,60,71.4285714285714
muqur_badghis,25,36,88,85,40,85,30,20,60,30,20,20,8,110,20,20,45,50,20,40,13.3333333333333,177.777777777778,8.75,8.75,62.5,30
nad_e_ali,33,40,75,78,45,125,39,10,50,23.5,16,12,7.5,62.5,22.5,42.5,48,40,40,60,20,800,10,13.5,52.5,39
nahr_e_saraj,27.2,35,60,73.25,45.1,82.2,42.2,10,44,8.8,13.3,11,8,97.5,20,57.5,33.5,45,22.5,80,6,6,12,6.42857142857143,52.5,42.2
nahr_e_shahi,30,35,56,95,55,100,40,16.6666666666667,55,30,25,22,7,40,10,20,22.5,65,30,50,8,160,17,12,55,40
nahrin,28.5714285714286,35.7142857142857,40,96,70,92.8571428571429,40,10,55,17.1428571428571,17.1428571428571,12,7,55,20,20,50,52.5,20,60,20,400,7,14,65,42.8571428571429
