afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
abkamari,NA,NA,NA,92.5,52.5,75,30,20,57.5,20,20,27.5,8,NA,12.5,12.5,NA,20,12.5,NA,105,9,NA,60,30,NA
adraskan,26,35.5,80,107,52.5,120,62.5,9,50,20,15,15,7,140,30,40,45,42.5,30,40,100,13.75,10,50,52.5,NA
ahmadaba,36,38,114.75,107.5,85,91.4285714285714,80.7142857142857,10,50,35,28.5714285714286,20.7142857142857,10,31.25,30,110,67.5,44,52.5,125,62.5,13.5714285714286,14.6428571428571,60,80.7142857142857,NA
aqcha,33.5416666666667,34.3,50,93.5,57.5,105,67.5,30,50,20,20,18,8,110,22.5,42.5,50,60,27.5,60,47.5,13,14.5,50,52.5,NA
ashtarlay,NA,40,NA,100,71,78,71,20,68,40,18,18,8,80,20,40,NA,50,30,100,120,17,NA,75,70,NA
aybak,32.1428571428571,35,42.8571428571429,95,60,110,40,25,50,40,20,20,10,70,30,50,25,60,25,40,60,7.85714285714286,7.85714285714286,60,40,NA
baghlan_e_jadid,37.5,43.5,40,90,50,90,50,14.2857142857143,50,NA,15,15,8,NA,20,30,40,55,20,50,100,NA,NA,60,50,NA
bagram,32,35,38.5,100,60,97.5,79,20,50,21,19,13.5,8,65,30,32.5,47.5,47.5,22.5,55,40,NA,NA,58,60,NA
baharak_badakhshan,32.8571428571429,41.4285714285714,42.8571428571429,96.3333333333333,NA,85.7142857142857,35.7142857142857,25,50,27.1428571428571,14.2857142857143,13.5714285714286,10,NA,20,40,40,90,20,70,180,9.64285714285714,11.4285714285714,55,35.7142857142857,NA
bamyan,33.5,35.5,55,99,65,115,75,23,55,30,20,20.5,7,107.5,30,30,45,50,30,65,180,14.5,21,65,60,NA
barakibarak,33.130612244898,35.6,78.7755102040816,86.875,61.4285714285714,103.571428571429,84.2857142857143,10.7142857142857,50,17.1428571428571,18.5714285714286,15.7142857142857,8,105,20,35,70,40,25,41.6666666666667,90,13.9285714285714,12.9464285714286,55,61.4285714285714,NA
bazarak,25,37.5,62.5,97.5,77.5,95,50,25,55,23.3333333333333,30,21,8,NA,30,50,32.5,57.5,30,75,85,NA,NA,60,50,NA
behsud,32,34,35.5,80,60,100,80,10,45,30,30,22.5,8,95,25,27.5,20,47.5,27.5,40,100,11,11,57.5,60,NA
chahar_asyab,32,34,38,105.5,66,102.5,80,13,46,30,19.5,12.5,8,67.5,20,25,47.5,60,30,60,46.5,14.5,NA,55,66,NA
chamkani,36,38,82.5,112.5,85.7142857142857,92.8571428571429,78.5714285714286,10,50,37.1428571428571,30,20,10,32.5,30,120,70,60,60,70,80,13.5714285714286,17.1428571428571,62.5,78.5714285714286,NA
charikar,32,34,37,96,67.5,96,80,14,48,26.5,20,14,7,43.75,22.5,30,50,52.5,25,50,50,NA,NA,55,67.5,NA
charkent,28,33,50,82,57.5,120,30,20,60,30,20,15,10,120,20,40,50,50,30,60,NA,10,NA,50,120,NA
dand_wa_patan,37,37,150,100,85.7142857142857,92.8571428571429,85.7142857142857,10,50,34.2857142857143,27.1428571428571,20,10,35,30,100,60,40,50,70,60,15,16.4285714285714,60,82.8571428571429,NA
dara_e_suf_e_bala,32.1428571428571,33.5,45,96,60,110,50,25,50,40,20,20,9.5,70,30,47.5,60,60,30,60,70,7.07142857142857,8.78571428571428,65,50,NA
deh_sabz,32,34,45,98,70,101,80,20,50,28,20,20,7,70,20,50,60,52.5,30,60,180,14,14,55,70,NA
emam_saheb,30,35,30,90,70,90,60,15,50,20,24.2857142857143,14.2857142857143,7,37.5,30,50,32.5,60,25,70,195,10.3571428571429,11.4285714285714,57.5,60,NA
farah,29.3333333333333,28.95,82,88.75,62.5,110,57.5,12.5,50,30,20,16,6.75,102.5,50,70,95,55,22.5,100,72.5,NA,NA,NA,52.5,NA
farkhar,33,38,42,94,NA,90,48,6,53,17,15,14,10,60,20,20,60,90,20,60,60,9.28571428571428,8.07142857142857,60,48,NA
fayzabad,33.0952380952381,36,42.8571428571429,98.6666666666667,85.7142857142857,96.4285714285714,37.1428571428571,25,50,32.5,17.8571428571429,14.2857142857143,11.5,80,25,50,45,90,30,70,90,11.7857142857143,12.5,65,40.7142857142857,NA
feroz_koh,32,36,80,95,70,120,40,10,55,40,18,20,8,140,50,50,40,60,20,66.6666666666667,100,18,20,60,40,NA
gardez,33.6734693877551,36,68,84.375,44,85.6,44,10,42,22.8571428571429,25,25.7142857142857,9.58333333333333,90,50,80,60,33.25,60,70,55,12.8571428571429,12.6785714285714,55,69.8,NA
ghoryan,31,35,70,75,85,120,67.5,10,48,20,15,15,7,35,20,45,30,40,20,35,100,20,23,48,65,NA
gosfandi,25.5,36.5,45,100,60,100,50,10,50,15,20,15,10,120,20,30,45,50,25,90,100,7,8,60,50,NA
gurbuz,35,35,36,84.6875,63.0434782608696,105.208333333333,69.5652173913043,7.3015873015873,42.8,21.4285714285714,17.1428571428571,17.1428571428571,6.66666666666667,30,55,90,55,28,90,33,120,13.8571428571429,7.14285714285714,50,63.0434782608696,NA
guzara,30,34.5,65,82.5,47.5,112.5,45,12,47.5,19,15,17.5,8,40,22.5,37.5,30,50,20,80,110,20,25,44.5,45,NA
