afg_dist,wheat_local_price_cr_median,wheat_imported_price_cr_median,local_rice_price_cr_median,veg_oil_price_cr_median,pulses_lentils_price_cr_median,pulses_beans_price_cr_median,pulses_split_peas_price_cr_median,salt_price_cr_median,sugar_price_cr_median,tomatoes_price_cr_median,potatoes_price_cr_median,onions_price_cr_median,eggs_price_cr_median,cotton_cloth_price_cr_median,toothbrush_adult_price_cr_median,toothpaste_price_cr_median,sanitary_pad_price_cr_median,washing_detergent_price_cr_median,soap_price_cr_median,bleach_price_cr_median,safe_water_price_cr_median,safe_water_price_20L_cr_median,firewood_price_cr_median,kindling_price_cr_median,cooking_fuel_price_cr_median,pulses_merged_price_final_cr_median
abkamari,NA,NA,NA,100,NA,40,NA,20,55,27.5,20,22.5,7.5,NA,10,15,NA,22.5,17.5,NA,13.3333333333333,177.777777777778,NA,NA,60,40
adraskan,26.25,34.5,77.5,100,55,111.25,60,15,52.5,12.5,20,15,6.5,130,22.5,30,52.5,45,25,40,4.75,4.75,13.125,12,45,55
ahmadaba,32,35,74.75,86.6666666666667,60,83.5714285714286,65,8,50.7142857142857,11.4285714285714,19.6428571428571,17.1428571428571,7.04166666666667,77.5,20,70,70,40,40,56.6666666666667,20,122.222222222222,8.57142857142857,9.5,50,60
aqcha,29.5,34,48.5,90,50,117.5,40,10,53,11,24,10,8.5,90,22.5,30,42.5,42.5,25,85,10,200,14,15,57.5,40
aybak,30,34,45,85,60,110,40,15,50,18.5714285714286,20,16.5,8,50,30,50,30,57.5,20,70,3.25,3.25,7.85714285714286,8.57142857142857,50,40
baghlan_e_jadid,30,36,50,96,64,100,42,12,54,20,18,12,7,NA,25,25,47.5,60,20,50,NA,NA,9,6,60,42
bagram,30,33,40,93,70,110,80,12.5,51,10,20,10,6.5,65,20,30,52.5,60,22.5,60,16,640,14,14,60,65
bagrami,31,34,42.5,95,67.5,115,80,20,51.5,12.5,22.5,12.5,6.5,60,20,22.5,42.5,47.5,30,50,3.5,3.5,NA,NA,54.5,75
baharak_badakhshan,28.5,36.5,60,91,50,86.5,62.5,25,50,10,14.2857142857143,14.2857142857143,NA,NA,40,15,40,70,30,63.3333333333333,20,800,10,NA,60,77.5
bakwa,28,36,38,93.75,45,120,50,12,55,20,20,10,8,150,15,30,30,40,20,100,10,200,15,20,55,45
