file_name,iso3_code,file_path,date,sheets_data,data_name,new_name
29b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_July2020.xlsx,YEM,data/29b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_July2020.xlsx,2020-07-01,median_WASH_SMEB_district,29b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_July2020_2020-07-01,REACH_YEM_JMMI_data_2020-07-01_2
30a.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August2020.xlsx,YEM,data/30a.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August2020.xlsx,2020-08-01,median_WASH_SMEB_district,30a.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August2020_2020-08-01,REACH_YEM_JMMI_data_2020-08-01
30b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August-2020.xlsx,YEM,data/30b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August-2020.xlsx,2020-08-01,median_WASH_SMEB_district,30b.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_August-2020_2020-08-01,REACH_YEM_JMMI_data_2020-08-01_1
31.REACH_YEM_Joint-Market-Monitoring-Initiative-JMMI_Dataset_September2020.xlsx,YEM,data/31.REACH_YEM_Joint-Market-Monitoring-Initiative-JMMI_Dataset_September2020.xlsx,2020-09-01,median_WASH_SMEB_district,31.REACH_YEM_Joint-Market-Monitoring-Initiative-JMMI_Dataset_September2020_2020-09-01,REACH_YEM_JMMI_data_2020-09-01
33.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_November2020.xlsx,YEM,data/33.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_November2020.xlsx,2020-11-01,median_WASH_SMEB_district,33.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_November2020_2020-11-01,REACH_YEM_JMMI_data_2020-11-01
34.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_December-2020.xlsx,YEM,data/34.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_December-2020.xlsx,2020-12-01,median_WASH_SMEB_district,34.REACH_YEM_Dataset_Joint-Market-Monitoring-Initiative-JMMI_December-2020_2020-12-01,REACH_YEM_JMMI_data_2020-12-01
AFG_REACH_CVWG_JMMI-Pilot_Dataset_May-2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI-Pilot_Dataset_May-2020.xlsx,2020-05-01,Price per item - district,AFG_REACH_CVWG_JMMI-Pilot_Dataset_May-2020_2020-05-01,REACH_AFG_JMMI_data_2020-05-01
AFG_REACH_CVWG_JMMI_August2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_August2020.xlsx,2020-08-01,Price per item - district,AFG_REACH_CVWG_JMMI_August2020_2020-08-01,REACH_AFG_JMMI_data_2020-08-01
AFG_REACH_CVWG_JMMI_December2020-1.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_December2020-1.xlsx,2020-12-01,Price per item - district,AFG_REACH_CVWG_JMMI_December2020-1_2020-12-01,REACH_AFG_JMMI_data_2020-12-01
AFG_REACH_CVWG_JMMI_June-2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_June-2020.xlsx,2020-06-01,Price per item - district,AFG_REACH_CVWG_JMMI_June-2020_2020-06-01,REACH_AFG_JMMI_data_2020-06-01
AFG_REACH_CVWG_JMMI_June-August2020IPC_Sept2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_June-August2020IPC_Sept2020.xlsx,2020-08-01,Price per item - district,AFG_REACH_CVWG_JMMI_June-August2020IPC_Sept2020_2020-08-01,REACH_AFG_JMMI_data_2020-08-01_1
AFG_REACH_CVWG_JMMI_November2020-1.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_November2020-1.xlsx,2020-11-01,Price per item - district,AFG_REACH_CVWG_JMMI_November2020-1_2020-11-01,REACH_AFG_JMMI_data_2020-11-01
AFG_REACH_CVWG_JMMI_October2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_October2020.xlsx,2020-10-01,Price per item - district,AFG_REACH_CVWG_JMMI_October2020_2020-10-01,REACH_AFG_JMMI_data_2020-10-01
AFG_REACH_CVWG_JMMI_September2020.xlsx,AFG,data/AFG_REACH_CVWG_JMMI_September2020.xlsx,2020-09-01,Price per item - district,AFG_REACH_CVWG_JMMI_September2020_2020-09-01,REACH_AFG_JMMI_data_2020-09-01
lby_dataset_joint_market_monitoring_initiative_jmmi_august_2017.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_august_2017.xlsx,2017-08-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_august_2017_2017-08-01,REACH_LBY_JMMI_data_2017-08-01
lby_dataset_joint_market_monitoring_initiative_jmmi_december_2017.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_december_2017.xlsx,2017-12-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_december_2017_2017-12-01,REACH_LBY_JMMI_data_2017-12-01
lby_dataset_joint_market_monitoring_initiative_jmmi_july_2017_2.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_july_2017_2.xlsx,2017-07-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_july_2017_2_2017-07-01,REACH_LBY_JMMI_data_2017-07-01
lby_dataset_joint_market_monitoring_initiative_jmmi_june_2017_3.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_june_2017_3.xlsx,2017-06-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_june_2017_3_2017-06-01,REACH_LBY_JMMI_data_2017-06-01
lby_dataset_joint_market_monitoring_initiative_jmmi_november_2017.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_november_2017.xlsx,2017-11-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_november_2017_2017-11-01,REACH_LBY_JMMI_data_2017-11-01
lby_dataset_joint_market_monitoring_initiative_jmmi_october_2017_2.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_october_2017_2.xlsx,2017-10-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_october_2017_2_2017-10-01,REACH_LBY_JMMI_data_2017-10-01
lby_dataset_joint_market_monitoring_initiative_jmmi_september_2017.xlsx,LBY,data/lby_dataset_joint_market_monitoring_initiative_jmmi_september_2017.xlsx,2017-09-01,data,lby_dataset_joint_market_monitoring_initiative_jmmi_september_2017_2017-09-01,REACH_LBY_JMMI_data_2017-09-01
REACH-CAR-JMMI-Dataset-August-2019.xlsx,CAR,data/REACH-CAR-JMMI-Dataset-August-2019.xlsx,2019-08-01,Coût du PMAS,REACH-CAR-JMMI-Dataset-August-2019_2019-08-01,REACH_CAR_JMMI_data_2019-08-01
REACH_CAR_JMMI_Dataset_Nov-2019.xlsx,CAR,data/REACH_CAR_JMMI_Dataset_Nov-2019.xlsx,2019-11-01,Coût du PMAS,REACH_CAR_JMMI_Dataset_Nov-2019_2019-11-01,REACH_CAR_JMMI_data_2019-11-01
REACH_CAR_JMMI_Dataset_Oct-2019_VF.xlsx,CAR,data/REACH_CAR_JMMI_Dataset_Oct-2019_VF.xlsx,2019-10-01,Coût du PMAS,REACH_CAR_JMMI_Dataset_Oct-2019_VF_2019-10-01,REACH_CAR_JMMI_data_2019-10-01
REACH_CAR_JMMI_Dataset_Sept-2019.xlsx,CAR,data/REACH_CAR_JMMI_Dataset_Sept-2019.xlsx,NA,Coût du PMAS,REACH_CAR_JMMI_Dataset_Sept-2019_NA,REACH_CAR_JMMI_data_NA
REACH_ETH_JMMI_Dataset_Nov2020.xlsx,ETH,data/REACH_ETH_JMMI_Dataset_Nov2020.xlsx,2020-11-01,Median item prices,REACH_ETH_JMMI_Dataset_Nov2020_2020-11-01,REACH_ETH_JMMI_data_2020-11-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_april_2019.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_april_2019.xlsx,2019-04-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_april_2019_2019-04-01,REACH_LBY_JMMI_data_2019-04-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_April_Week_4_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_April_Week_4_2020.xlsx,NA,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_April_Week_4_2020_NA,REACH_LBY_JMMI_data_NA
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2018_2.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2018_2.xlsx,2018-08-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2018_2_2018-08-01,REACH_LBY_JMMI_data_2018-08-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2019.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2019.xlsx,2019-08-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_august_2019_2019-08-01,REACH_LBY_JMMI_data_2019-08-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_August_2020-1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_August_2020-1.xlsx,2020-08-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_August_2020-1_2020-08-01,REACH_LBY_JMMI_data_2020-08-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_december_2018.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_december_2018.xlsx,2018-12-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_december_2018_2018-12-01,REACH_LBY_JMMI_data_2018-12-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2019-1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2019-1.xlsx,2019-12-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2019-1_2019-12-01,REACH_LBY_JMMI_data_2019-12-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2020.xlsx,2020-12-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_December_2020_2020-12-01,REACH_LBY_JMMI_data_2020-12-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2018_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2018_0.xlsx,2018-02-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2018_0_2018-02-01,REACH_LBY_JMMI_data_2018-02-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2019_1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2019_1.xlsx,2019-02-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_february_2019_1_2019-02-01,REACH_LBY_JMMI_data_2019-02-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2018.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2018.xlsx,2018-01-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2018_2018-01-01,REACH_LBY_JMMI_data_2018-01-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2019_1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2019_1.xlsx,2019-01-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_january_2019_1_2019-01-01,REACH_LBY_JMMI_data_2019-01-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2020.xlsx,2020-01-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2020_2020-01-01,REACH_LBY_JMMI_data_2020-01-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2021.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2021.xlsx,2021-01-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_January_2021_2021-01-01,REACH_LBY_JMMI_data_2021-01-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_0.xlsx,2018-07-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_0_2018-07-01,REACH_LBY_JMMI_data_2018-07-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_1.xlsx,2018-07-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2018_1_2018-07-01,REACH_LBY_JMMI_data_2018-07-01_1
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2019_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2019_0.xlsx,2019-07-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_july_2019_0_2019-07-01,REACH_LBY_JMMI_data_2019-07-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_July_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_July_2020.xlsx,2020-07-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_July_2020_2020-07-01,REACH_LBY_JMMI_data_2020-07-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2018_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2018_0.xlsx,2018-06-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2018_0_2018-06-01,REACH_LBY_JMMI_data_2018-06-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2019_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2019_0.xlsx,2019-06-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_june_2019_0_2019-06-01,REACH_LBY_JMMI_data_2019-06-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_June_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_June_2020.xlsx,2020-06-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_June_2020_2020-06-01,REACH_LBY_JMMI_data_2020-06-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_march_2019_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_march_2019_0.xlsx,2019-03-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_march_2019_0_2019-03-01,REACH_LBY_JMMI_data_2019-03-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_March_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_March_2020.xlsx,2020-03-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_March_2020_2020-03-01,REACH_LBY_JMMI_data_2020-03-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_may_2019_1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_may_2019_1.xlsx,2019-05-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_may_2019_1_2019-05-01,REACH_LBY_JMMI_data_2019-05-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_May_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_May_2020.xlsx,2020-05-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_May_2020_2020-05-01,REACH_LBY_JMMI_data_2020-05-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_november_2018.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_november_2018.xlsx,2018-11-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_november_2018_2018-11-01,REACH_LBY_JMMI_data_2018-11-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2019.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2019.xlsx,2019-11-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2019_2019-11-01,REACH_LBY_JMMI_data_2019-11-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2020.xlsx,2020-11-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_November_2020_2020-11-01,REACH_LBY_JMMI_data_2020-11-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_october_2018.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_october_2018.xlsx,2018-10-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_october_2018_2018-10-01,REACH_LBY_JMMI_data_2018-10-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2019.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2019.xlsx,2019-10-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2019_2019-10-01,REACH_LBY_JMMI_data_2019-10-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2020-1.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2020-1.xlsx,2020-10-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_October_2020-1_2020-10-01,REACH_LBY_JMMI_data_2020-10-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2018_0.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2018_0.xlsx,2018-09-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2018_0_2018-09-01,REACH_LBY_JMMI_data_2018-09-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2019.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2019.xlsx,2019-09-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_september_2019_2019-09-01,REACH_LBY_JMMI_data_2019-09-01
reach_lby_dataset_joint_market_monitoring_initiative_jmmi_September_2020.xlsx,LBY,data/reach_lby_dataset_joint_market_monitoring_initiative_jmmi_September_2020.xlsx,2020-09-01,data,reach_lby_dataset_joint_market_monitoring_initiative_jmmi_September_2020_2020-09-01,REACH_LBY_JMMI_data_2020-09-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_april_2020.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_april_2020.xlsx,2020-04-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_april_2020_2020-04-01,REACH_SSD_JMMI_data_2020-04-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_august_2019.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_august_2019.xlsx,2019-08-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_august_2019_2019-08-01,REACH_SSD_JMMI_data_2019-08-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_August_2020.finalxlsx.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_August_2020.finalxlsx.xlsx,2020-08-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_August_2020.finalxlsx_2020-08-01,REACH_SSD_JMMI_data_2020-08-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_december_2019-1.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_december_2019-1.xlsx,2019-12-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_december_2019-1_2019-12-01,REACH_SSD_JMMI_data_2019-12-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_february_2020.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_february_2020.xlsx,2020-02-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_february_2020_2020-02-01,REACH_SSD_JMMI_data_2020-02-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_january_2020.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_january_2020.xlsx,2020-01-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_january_2020_2020-01-01,REACH_SSD_JMMI_data_2020-01-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_July_2020.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_July_2020.xlsx,2020-07-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_July_2020_2020-07-01,REACH_SSD_JMMI_data_2020-07-01
reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_June_2020.xlsx,SSD,data/reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_June_2020.xlsx,2020-06-01,median_price_USD,reach_ssd_dataset_joint_market_monitoring_initiative_jmmi_June_2020_2020-06-01,REACH_SSD_JMMI_data_2020-06-01
