district_ID,country_name,country_ID,governorate_ID,governorate_name,district_name,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,smeb_total
YE1107,Yemen,YE,YE11,Ibb,Al Makhadir,360,400,120,200,125,110,600,1229,1312.5,2200,1200,3871.35,8583.85
YE1305,Yemen,YE,YE13,Amanat Al Asimah,As Sabain,365,430,120,140,120,130,500,1000,1260,2600,1000,3150,8010
YE1309,Yemen,YE,YE13,Amanat Al Asimah,Ath'thaorah,365,430,100,290,150,100,450,1800,1575,2000,900,5670,10145
YE1413,Yemen,YE,YE14,Al Bayda,Rada',365,400,110,120,100,150,550,1600,1050,3000,1100,5040,10190
YE1505,Yemen,YE,YE15,Taizz,Al  Mukha,375,365,110,"NA",150,110,400,"NA",1575,2200,1106,6300,11181
YE1508,Yemen,YE,YE15,Taizz,Jabal Habashy,375,375,125,100,100,73,450,1071,1050,1460,1106,6300,9916
YE1512,Yemen,YE,YE15,Taizz,Dimnat Khadir,400,400,130,100,180,130,563,2000,1890,2600,1126,6300,11916
YE1513,Yemen,YE,YE15,Taizz,As Silw,510,530,160,130,210,130,950,"NA",2205,2600,1900,6300,13005
YE1514,Yemen,YE,YE15,Taizz,Ash Shamayatayn,375,375,100,90,100,100,550,8000,1050,2000,1100,25200,29350
YE1520,Yemen,YE,YE15,Taizz,At Ta'iziyah,365,400,150,100,180,130,556,2000,1890,2600,1112,6300,11902
YE1521,Yemen,YE,YE15,Taizz,Al Ma'afer,390,390,150,100,120,91,500,1500,1680,2220,1106,6300,11306
YE1522,Yemen,YE,YE15,Taizz,Al Mawasit,390,390,150,100,150,91,500,1600,1680,2220,1106,6300,11306
YE1713,Yemen,YE,YE17,Hajjah,Qafl Shamer,650,450,130,150,120,100,550,3500,1260,2000,1100,11025,15385
YE1715,Yemen,YE,YE17,Hajjah,Al Mahabishah,375,440,100,170,150,110,650,6500,1575,2200,1300,20475,25550
YE1722,Yemen,YE,YE17,Hajjah,Ku'aydinah,400,450,140,105,140,120,500,3000,1575,2300,1050,11025,15950
YE1724,Yemen,YE,YE17,Hajjah,Bani Qa'is,365,430,135,"NA",150,125,500,2000,1575,2300,1050,11025,15950
YE1726,Yemen,YE,YE17,Hajjah,Najrah,407.5,440,120,"NA",150,130,500,2500,1575,2300,1050,11025,15950
YE1802,Yemen,YE,YE18,Al Hudaydah,Alluheyah,480,430,150,200,130,100,500,2000,1365,2000,1000,6300,10665
YE1806,Yemen,YE,YE18,Al Hudaydah,Al Qanawis,365,430,120,150,150,100,500,3000,1575,2000,1000,9450,14025
YE1819,Yemen,YE,YE18,Al Hudaydah,Hays,395,395,115,"NA",140,98,400,1500,1470,1960,800,4725,8955
YE1820,Yemen,YE,YE18,Al Hudaydah,Al Khawkhah,380,375,150,"NA",108,120,604,1600,1134,2400,1200,6300,11034
YE1824,Yemen,YE,YE18,Al Hudaydah,Zabid,400,440,150,"NA",130,130,370,"NA",1365,2600,740,6300,11005
YE1826,Yemen,YE,YE18,Al Hudaydah,At Tuhayat,400,410,150,"NA",120,120,400,"NA",1260,2400,800,6300,10760
YE2113,Yemen,YE,YE21,Shabwah,Ataq,360,370,100,200,100,136,500,1000,1050,2720,1000,3150,7920
YE2114,Yemen,YE,YE21,Shabwah,Habban,337.5,337.5,100,"NA",120,109,556,2775,1260,2180,1112,7087.5,11639.5
YE2203,Yemen,YE,YE22,Sa'ada,Monabbih,365,425,140,"NA",150,170,650,1000,1575,3400,1300,3150,9425
YE2204,Yemen,YE,YE22,Sa'ada,Ghamr,365,425,140,"NA",150,160,700,1000,1575,3200,1400,3150,9325
YE2205,Yemen,YE,YE22,Sa'ada,Razih,365,425,140,"NA",150,140,700,1000,1575,2800,1400,3150,8925
YE2209,Yemen,YE,YE22,Sa'ada,Saqayn,365,380,100,130,100,150,580,1500,1050,3000,1160,4725,9935
YE2305,Yemen,YE,YE23,Sana'a,Sanhan,365,400,100,120,100,150,540,1500,1050,3000,1080,4725,9855
YE2307,Yemen,YE,YE23,Sana'a,Bani Matar,365,410,100,120,100,150,550,1400,1050,3000,1100,4410,9560
YE2312,Yemen,YE,YE23,Sana'a,Khwlan,365,430,100,"NA",160,110,500,1900,1680,2200,1000,5985,10865
YE2404,Yemen,YE,YE24,Aden,Al Buraiqeh,325,350,150,95,135,75,500,1000,1260,1500,1000,9450,13210
YE2408,Yemen,YE,YE24,Aden,Khur Maksar,325,"NA",150,100,110,75,500,5000,1260,1500,1000,9450,13210
YE2508,Yemen,YE,YE25,Lahj,Al Milah,340,350,150,"NA",150,150,500,2000,1575,2000,1000,1575,6150
YE2515,Yemen,YE,YE25,Lahj,Tuban,"NA",350,150,105,150,100,500,500,1575,2000,1000,1575,6150
YE2912,Yemen,YE,YE29,Amran,Jabal Iyal Yazid,365,425,135,500,150,100,750,1000,1575,1820,1500,2992.5,7887.5
YE2915,Yemen,YE,YE29,Amran,Amran,365,425,110,400,150,91,750,900,1575,1820,1500,2992.5,7887.5
YE3201,Yemen,YE,YE32,Socotra,Hidaybu,235,245,130,125,150,130,800,850,1575,2600,1600,2677.5,8452.5
