district_ID,country_name,country_ID,governorate_ID,governorate_name,district_name,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,smeb_total
YE1107,Yemen,YE,YE11,Ibb,Al Makhadir,475,470,120,500,149,109,450,1286,1564.5,2180,900,4050.9,8695.4
YE1305,Yemen,YE,YE13,Amanat Al Asimah,As Sabain,365,430,120,180,120,180,500,1000,1260,3600,1000,3150,9010
YE1309,Yemen,YE,YE13,Amanat Al Asimah,Ath'thaorah,365,430,100,300,140,100,480,1900,1470,2000,960,5985,10415
YE1413,Yemen,YE,YE14,Al Bayda,Rada',365,425,110,100,120,150,520,3500,1260,3000,1040,11025,16325
YE1505,Yemen,YE,YE15,Taizz,Al  Mukha,365,370,130,"NA",150,125,400,"NA",1575,2500,800,6300,11175
YE1508,Yemen,YE,YE15,Taizz,Jabal Habashy,350,362.5,107,125,111,73,400,1533.35,1165.5,1460,800,4830.0525,8255.5525
YE1512,Yemen,YE,YE15,Taizz,Dimnat Khadir,360,400,130,100,160,100,450,2075,1680,2000,900,6536.25,11116.25
YE1513,Yemen,YE,YE15,Taizz,As Silw,450,500,150,"NA",150,140,670,"NA",1575,2800,1340,6300,12015
YE1514,Yemen,YE,YE15,Taizz,Ash Shamayatayn,375,375,80,90,100,100,500,7000,1050,2000,1000,22050,26100
YE1520,Yemen,YE,YE15,Taizz,At Ta'iziyah,425,412.5,130,100,192,130,550,2000,2016,2600,1100,6300,12016
YE1521,Yemen,YE,YE15,Taizz,Al Ma'afer,375,375,150,200,150,100,450,2000,1575,2000,900,6300,10775
YE1522,Yemen,YE,YE15,Taizz,Al Mawasit,375,375,150,150,150,100,500,2000,1575,2000,1000,6300,10875
YE1713,Yemen,YE,YE17,Hajjah,Qafl Shamer,375,435,100,100,150,100,500,3300,1575,2000,1000,10395,14970
YE1715,Yemen,YE,YE17,Hajjah,Al Mahabishah,375,440,100,175,150,100,600,4000,1575,2000,1200,12600,17375
YE1722,Yemen,YE,YE17,Hajjah,Ku'aydinah,365,425,130,115,120,130,500,3000,1260,2600,1000,9450,14310
YE1724,Yemen,YE,YE17,Hajjah,Bani Qa'is,365,430,120,"NA",150,120,500,"NA",1575,2400,1000,9922.5,14897.5
YE1726,Yemen,YE,YE17,Hajjah,Najrah,365,430,120,"NA",150,115,500,1500,1575,2300,1000,4725,9600
YE1802,Yemen,YE,YE18,Al Hudaydah,Alluheyah,450,430,100,200,130,100,500,2000,1365,2000,1000,6300,10665
YE1806,Yemen,YE,YE18,Al Hudaydah,Al Qanawis,425,325,100,100,100,120,450,1500,1050,2400,900,4725,9075
YE1819,Yemen,YE,YE18,Al Hudaydah,Hays,395,392.5,115,"NA",125,100,400,1500,1312.5,2000,800,4725,8837.5
YE1820,Yemen,YE,YE18,Al Hudaydah,Al Khawkhah,365,365,120,"NA",127,104,400,1500,1333.5,2080,800,4725,8938.5
YE1824,Yemen,YE,YE18,Al Hudaydah,Zabid,375,480,150,130,135,135,375,"NA",1417.5,2700,750,4725,9592.5
YE1826,Yemen,YE,YE18,Al Hudaydah,At Tuhayat,450,440,150,"NA",140,150,400,"NA",1470,3000,800,4725,9995
YE2113,Yemen,YE,YE21,Shabwah,Ataq,360,365,100,150,130,120,500,1300,1365,2400,1000,4095,8860
YE2114,Yemen,YE,YE21,Shabwah,Habban,330,340,100,100,120,109,444,2585,1260,2180,888,8142.75,12470.75
YE2203,Yemen,YE,YE22,Sa'ada,Monabbih,550,500,200,"NA",200,170,780,3000,2100,3400,1560,9450,16510
YE2204,Yemen,YE,YE22,Sa'ada,Ghamr,500,350,170,"NA",200,180,800,5000,2100,3600,1600,15750,23050
YE2205,Yemen,YE,YE22,Sa'ada,Razih,550,400,180,"NA",200,180,750,4000,2100,3600,1500,12600,19800
YE2209,Yemen,YE,YE22,Sa'ada,Saqayn,400,440,130,15,140,180,510,1200,1470,3600,1020,3780,9870
YE2305,Yemen,YE,YE23,Sana'a,Sanhan,365,425,100,100,100,150,550,2000,1050,3000,1100,6300,11450
YE2307,Yemen,YE,YE23,Sana'a,Bani Matar,365,425,100,100,100,150,550,1800,1050,3000,1100,5670,10820
YE2312,Yemen,YE,YE23,Sana'a,Khwlan,365,430,100,"NA",150,110,500,1900,1575,2200,1000,5985,10760
YE2404,Yemen,YE,YE24,Aden,Al Buraiqeh,325,360,140,90,120,75,500,1000,1260,1500,1000,3150,6910
YE2408,Yemen,YE,YE24,Aden,Khur Maksar,325,"NA",140,75,120,75,500,"NA",1260,1500,1000,3150,6910
YE2508,Yemen,YE,YE25,Lahj,Al Milah,340,350,150,"NA",150,150,500,1500,1575,3000,1000,4725,10300
YE2515,Yemen,YE,YE25,Lahj,Tuban,325,350,150,115,100,100,600,500,1050,2000,1200,1575,5825
YE2912,Yemen,YE,YE29,Amran,Jabal Iyal Yazid,365,425,120,450,150,109,625,1200,1575,2180,1250,3780,8785
YE2915,Yemen,YE,YE29,Amran,Amran,365,425,110,400,150,91,750,900,1575,1820,1500,2835,7730
YE3201,Yemen,YE,YE32,Socotra,Hidaybu,230,235,115,100,150,140,650,800,1575,2800,1300,2520,8195
