district_ID,country_name,country_ID,governorate_ID,governorate_name,district_name,calc_price_petrol,calc_price_diesel,calc_price_bottled_water,calc_price_treated_water,calc_price_soap,calc_price_laundry,calc_price_sanitary,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,smeb_total
YE1107,Yemen,YE,YE11,Ibb,Al Makhadir,525,455,140,220,150,100,460,1416.5,1575,2000,920,4461.975,8956.975
YE1309,Yemen,YE,YE13,Amanat Al Asimah,Ath'thaorah,365,430,120,300,150,100,480,1800,1575,2000,960,5670,10205
YE1413,Yemen,YE,YE14,Al Bayda,Rada',365,410,100,120,100,150,550,1300,1050,3000,1100,4095,9245
YE1505,Yemen,YE,YE15,Taizz,Al  Mukha,385,380,150,"NA",120,120,400,"NA",1260,2400,800,7087.5,11547.5
YE1508,Yemen,YE,YE15,Taizz,Jabal Habashy,450,410,100,100,104,73,409.5,1000,1092,1460,819,3150,6521
YE1512,Yemen,YE,YE15,Taizz,Dimnat Khadir,390,450,150,100,200,130,578,3000,2100,2600,1156,9450,15306
YE1513,Yemen,YE,YE15,Taizz,As Silw,475,475,150,150,150,130,550,"NA",1575,2600,1100,7087.5,12362.5
YE1514,Yemen,YE,YE15,Taizz,Ash Shamayatayn,400,400,80,80,100,100,600,8000,1050,2000,1200,25200,29450
YE1520,Yemen,YE,YE15,Taizz,At Ta'iziyah,365,437.5,150,100,180,130,556,3000,1890,2600,1112,9450,15052
YE1521,Yemen,YE,YE15,Taizz,Al Ma'afer,400,425,150,125,125,86.5,500,1500,1312.5,1730,1000,4725,8767.5
YE1522,Yemen,YE,YE15,Taizz,Al Mawasit,400,412.5,150,150,115,95.5,475,1000,1207.5,1910,950,3150,7217.5
YE1713,Yemen,YE,YE17,Hajjah,Qafl Shamer,390,480,100,100,150,86,550,3000,1575,1720,1100,9450,13845
YE1715,Yemen,YE,YE17,Hajjah,Al Mahabishah,375,440,100,125,125,86,500,6500,1312.5,1720,1000,20475,24507.5
YE1724,Yemen,YE,YE17,Hajjah,Bani Qa'is,375,430,140,"NA",130,140,500,2000,1365,2800,1000,6300,11465
YE1726,Yemen,YE,YE17,Hajjah,Najrah,375,430,150,"NA",140,130,500,1500,1470,2600,1000,4725,9795
YE1802,Yemen,YE,YE18,Al Hudaydah,Alluheyah,480,450,120,200,140,100,450,3000,1470,2000,900,9450,13820
YE1806,Yemen,YE,YE18,Al Hudaydah,Al Qanawis,365,430,100,100,120,100,500,3100,1260,2000,1000,9765,14025
YE1813,Yemen,YE,YE18,Al Hudaydah,Al Marawi'ah,365,430,150,130,120,130,650,1000,1260,2600,1300,3150,8310
YE1820,Yemen,YE,YE18,Al Hudaydah,Al Khawkhah,400,400,150,"NA",120,120,400,5000,1260,2400,800,15750,20210
YE1824,Yemen,YE,YE18,Al Hudaydah,Zabid,"NA","NA",150,"NA",135,135,375,"NA",1417.5,2700,750,9607.5,14475
YE2113,Yemen,YE,YE21,Shabwah,Ataq,390,375,100,100,150,91,500,1400,1575,1820,1000,4410,8805
YE2114,Yemen,YE,YE21,Shabwah,Habban,380,385,100,"NA",130,120,500,1100,1365,2400,1000,3465,8230
YE2209,Yemen,YE,YE22,Sa'ada,Saqayn,365,410,100,120,125,150,550,1250,1312.5,3000,1100,3937.5,9350
YE2305,Yemen,YE,YE23,Sana'a,Sanhan,365,410,100,100,115,150,550,1300,1207.5,3000,1100,4095,9402.5
YE2307,Yemen,YE,YE23,Sana'a,Bani Matar,365,410,100,120,100,130,550,1300,1050,2600,1100,4095,8845
YE2312,Yemen,YE,YE23,Sana'a,Khwlan,365,430,120,"NA",150,120,500,1900,1575,2400,1000,5985,10960
YE2404,Yemen,YE,YE24,Aden,Al Buraiqeh,350,"NA",150,85,120,75,500,1500,1260,1500,1000,4725,8485
YE2408,Yemen,YE,YE24,Aden,Khur Maksar,350,"NA",150,80,120,75,500,5000,1260,1500,1000,15750,19510
YE2508,Yemen,YE,YE25,Lahj,Al Milah,370,365,150,"NA",150,150,500,1500,1575,3000,1000,4725,10300
YE2515,Yemen,YE,YE25,Lahj,Tuban,350,375,150,125,150,100,500,500,1575,2000,1000,1575,6150
YE3201,Yemen,YE,YE32,Socotra,Hidaybu,200,235,150,120,130,140,680,800,1365,2800,1360,2520,8045
