governorate_ID,district_ID,governorate_name,district_name,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,wash_smeb_total
YE11,Ibb,YE1102,Yarim,130,100,450,2000,1365,2000,900,6300,10565
YE11,Ibb,YE1116,Dhi As Sufal,100,100,400,2500,1050,2000,800,7875,11725
YE11,Ibb,YE1118,Al Mashannah,130,80,450,3000,1365,1600,900,9450,13315
YE11,Ibb,YE1119,Al Dhihar,130,100,500,2300,1365,2000,1000,7245,11610
YE12,Abyan,YE1211,Khanfir,120,80,500,"NA",1260,1600,1000,"NA","NA"
YE13,Amanat Al Asimah,YE1301,Old City,84.16,105,600,"NA",883.68,2100,1200,3753.2249999999999,7936.9049999999997
YE13,Amanat Al Asimah,YE1302,Shu'aub,76.8,100,575,1333,806.4,2000,1150,4198.95,8155.35
YE13,Amanat Al Asimah,YE1303,Az'zal,89.6,90,550,1800,940.8,1800,1100,5670,9510.7999999999993
YE13,Amanat Al Asimah,YE1304,Assafi'yah,76.8,100,550,1333,806.4,2000,1100,4198.95,8105.35
YE13,Amanat Al Asimah,YE1306,Al Wahdah,132.70588235,90,700,794,1393.411764675,1800,1400,2501.1,7094.5117646750004
YE13,Amanat Al Asimah,YE1307,At Tahrir,188.2352941,120,750,363.5,1976.47058805,2400,1500,1145.0250000000001,7021.4955880500002
YE13,Amanat Al Asimah,YE1308,Ma'ain,92.8,120,550,500,974.4,2400,1100,1575,6049.4
YE13,Amanat Al Asimah,YE1309,Ath'thaorah,160,100,450,1800,1680,2000,900,5670,10250
YE13,Amanat Al Asimah,YE1310,Bani Al Harith,160,100,500,1050,1680,2000,1000,3307.5,7987.5
YE15,Taizz,Taizz,At Ta'iziyah,110,104.54545455,450,5000,1155,2090.909091,900,15750,19895.909091000001
YE15,Taizz,YE1506,Dhubab,112,100,600,2500,1176,2000,1200,7875,12251
YE15,Taizz,YE1509,Mashra'a Wa Hadnan,102.74509805,100,500,4500,1078.823529525,2000,1000,14175,18253.823529525002
YE15,Taizz,YE1513,As Silw,170.66666665,80,400,2675,1791.999999825,1600,800,8426.25,12618.249999825
YE15,Taizz,YE1514,Ash Shamayatayn,120,130,700,"NA",1260,2600,1400,9450,14710
YE15,Taizz,YE1515,Al Wazi'iyah,105.33333335,134.54545455,512.5,3000,1106.000000175,2690.909091,1025,9450,14271.909091175001
YE15,Taizz,YE1518,Al Qahirah,80,80,620,6500,840,1600,1240,20475,24155
YE15,Taizz,YE1519,Salh,80,100,600,6500,840,2000,1200,20475,24515
YE15,Taizz,YE1521,Al Ma'afer,171.4285714,90.90909091,700,1100,1799.9999997,1818.1818182,1400,3465,8483.1818179000002
YE15,Taizz,YE1522,Al Mawasit,154.28571425,90.90909091,625,3000,1619.999999625,1818.1818182,1250,9450,14138.181817825
YE16,Al Jawf,YE1610,Bart Al Anan,103,110,800,1000,1081.5,2200,1600,3150,8031.5
YE17,Hajjah,YE1704,Abs,125.33333335,90,425,1250,1316.000000175,1800,850,3937.5,7903.5000001750004
YE17,Hajjah,YE1712,Aslem,80,80,450,1000,840,1600,900,3150,6490
YE17,Hajjah,YE1713,Qafl Shamer,128,63.63636364,750,3300,1344,1272.7272728,1500,10395,14511.727272800001
YE17,Hajjah,YE1715,Al Mahabishah,128,71.42857143,600,6000,1344,1428.5714286,1200,18900,22872.5714286
YE17,Hajjah,YE1722,Ku'aydinah,137.1428571,90.90909091,550,2000,1439.99999955,1818.1818182,1100,6300,10658.181817750001
YE17,Hajjah,YE1724,Bani Qa'is,171.4285714,90.90909091,400,2000,1799.9999997,1818.1818182,800,6300,10718.1818179
YE17,Hajjah,YE1726,Najrah,137.1428571,90.90909091,500,1000,1439.99999955,1818.1818182,1000,3150,7408.1818177499999
YE18,Al Hudaydah,YE1801,Az Zuhrah,170.6666667,100,400,1500,1792.00000035,2000,800,4725,9317.0000003500008
YE18,Al Hudaydah,YE1802,Alluheyah,149.3333333,110,650,2400,1567.99999965,2200,1300,7560,12627.999999649999
YE18,Al Hudaydah,YE1806,Al Qanawis,128,90.90909091,600,2200,1344,1818.1818182,1200,6930,11292.181818200001
YE18,Al Hudaydah,YE1807,Az Zaydiyah,171.4285714,109.0909091,400,1000,1799.9999997,2181.818182,800,3150,7931.8181817000004
YE18,Al Hudaydah,YE1810,Bajil,160,109.0909091,500,600,1680,2181.818182,1000,1890,6751.818182
YE18,Al Hudaydah,YE1813,Al Marawi'ah,80,100,600,1200,840,2000,1200,3780,7820
YE18,Al Hudaydah,YE1817,Bayt Al Faqiah,137.1428571,109.0909091,600,2300,1439.99999955,2181.818182,1200,7245,12066.818181549999
YE18,Al Hudaydah,YE1819,Hays,128,109.0909091,300,1500,1344,2181.818182,600,4725,8850.8181820000009
YE18,Al Hudaydah,YE1820,Al Khawkhah,138.6666667,110,350,"NA",1456.00000035,2200,700,4725,9081.0000003500008
YE18,Al Hudaydah,YE1824,Zabid,112,130,3500,"NA",1176,2600,7000,4725,15501
YE18,Al Hudaydah,YE1826,At Tuhayat,138.6666667,80,325,"NA",1456.00000035,1600,650,4725,8431.0000003500008
YE20,Dhamar,YE2007,Wusab As Safil,120,120,530,3000,1260,2400,1060,9450,14170
YE20,Dhamar,YE2008,Dhamar City,160,80,500,1500,1680,1600,1000,4725,9005
YE21,Shabwah,YE2113,Ataq,130,136.3636364,550,1420,1365,2727.272728,1100,4473,9665.2727279999999
YE21,Shabwah,YE2114,Habban,130,120,550,2900,1365,2400,1100,9135,14000
YE22,Sa'ada,YE2209,Saqayn,120,150,450,6500,1260,3000,900,20475,25635
YE22,Sa'ada,YE2211,Sahar,110,105,925,950,1155,2100,1850,2992.5,8097.5
YE22,Sa'ada,YE2215,Sa'adah,100,100,900,900,1050,2000,1800,2835,7685
YE23,Sana'a,YE2301,Hamdan,160,100,500,800,1680,2000,1000,2520,7200
YE23,Sana'a,YE2302,Arhab,160,110,500,1350,1680,2200,1000,4252.5,9132.5
YE23,Sana'a,YE2303,Nihm,160,120,500,1400,1680,2400,1000,4410,9490
YE23,Sana'a,YE2304,Bani Hushaysh,154.66666665,110,500,1150,1623.999999825,2200,1000,3622.5,8446.4999998250005
YE23,Sana'a,YE2312,Khwlan,160,80,500,2000,1680,1600,1000,6300,10580
YE24,Aden,YE2404,Al Buraiqeh,171.4285714,122.72727275,500,2125,1799.9999997,2454.545455,1000,6693.75,11948.295454700001
YE24,Aden,YE2408,Khur Maksar,137.1428571,122.72727275,525,5000,1439.99999955,2454.545455,1050,15750,20694.54545455
YE25,Lahj,YE2508,Al Milah,171.4285714,63.63636364,600,370,1799.9999997,1272.7272728,1200,1165.5,5438.2272725000003
YE25,Lahj,YE2515,Tuban,165.7142857,45.45454545,550,250,1739.99999985,909.090909,1100,787.5,4536.5909088500002
YE29,Amran,YE2912,Jabal Iyal Yazid,137.1428571,90.90909091,575,1000,1439.99999955,1818.1818182,1150,3150,7558.1818177499999
YE29,Amran,YE2915,Amran,137.1428571,90.90909091,500,900,1439.99999955,1818.1818182,1000,2835,7093.1818177499999
YE30,Al Dhale'e,YE3003,Qa'atabah,230.4,80,600,2500,2419.2,1600,1200,7875,13094.2
YE30,Al Dhale'e,YE3006,Ad Dhale'e,217.2,76.363636365,500,2250,2280.6,1527.2727273,1000,7087.5,11895.3727273
YE32,Socotra,YE3201,Hidaybu,96,110,600,1200,1008,2200,1200,3780,8188
