State,County,Location,Sorghum.grain,Maize.grain,Wheat.flour,Rice,Groundnuts,Beans,Sugar,Salt,Cooking.oil,Soap,Jerrycan,Mosquito.net,Exercise.book,Blanket,Cooking.pot,Plastic.sheet,Pole,Firewood,Charcoal,Goat,Chicken,Milling.costs,...26,Food.price.index,MSSMEB.food.basket,MSSMEB,...30,...31,...32,...33,...34,...35
Jonglei,TwicEast,Panyagor,7.920792079207921,NA,1.386138613861386,1.114851485148515,NA,2.1940594059405942,1.2435643564356436,0.9900990099009901,2.376237623762376,0.3287128712871287,1.188118811881188,6.732673267326732,0.39603960396039606,6.732673267326732,11.881188118811881,NA,1.386138613861386,4.752475247524752,0.3445544554455445,87.12871287128714,7.920792079207921,0.594059405940594,NA,19.233663366336632,747.8653465346534,787.0186704384724,NA,NA,NA,NA,NA,NA
Jonglei,Uror,Mwot Tot,NA,0.5676274944567627,NA,5.321507760532151,NA,NA,1.6532150776053216,0.7840354767184036,3.5476718403547673,0.8266075388026608,3.5476718403547673,3.5476718403547673,1.06430155210643,8.869179600886918,7.095343680709535,15.964523281596453,1.7738359201773837,2.261640798226164,0.4292682926829268,28.38137472283814,NA,NA,NA,16.422172949002217,87.3011086474501,135.79227114349067,NA,NA,NA,NA,NA,NA
Jonglei,Uror,Pieri,0.7095343680709535,0.8478935698447894,2.6607538802660753,3.5955654101995567,NA,1.419068736141907,5.321507760532151,1.9263858093126385,3.5476718403547673,0.5924611973392461,NA,8.869179600886918,NA,NA,NA,17.738359201773836,0.7095343680709535,0.24833702882483372,0.9259423503325942,NA,NA,NA,NA,21.11751662971175,99.84212860310421,157.57142857142856,NA,NA,NA,NA,NA,NA
Lakes,Awerial,Mingkaman,0.7095343680709535,NA,1.2416851441241685,1.06430155210643,1.9831485587583149,1.7738359201773837,1.06430155210643,1.06430155210643,2.12860310421286,0.35476718403547675,0.8869179600886918,5.321507760532151,1.419068736141907,10.643015521064301,12.416851441241684,24.83370288248337,5.321507760532151,2.483370288248337,1.3374722838137472,28.38137472283814,10.643015521064301,0.20221729490022172,NA,11.739246119733924,93.65853658536585,171.67342413683878,NA,NA,NA,NA,NA,NA
Lakes,RumbekEast,Akot,0.3121951219512195,NA,NA,1.1991130820399114,0.24833702882483372,1.965410199556541,1.067849223946785,0.7237250554323725,2.12860310421286,0.21286031042128603,2.12860310421286,NA,0.7095343680709535,NA,5.321507760532151,NA,NA,NA,NA,NA,NA,0.10643015521064302,NA,9.773835920177383,59.28159645232816,94.54197022489706,NA,NA,NA,NA,NA,NA
Lakes,YirolWest,Yirol Town,0.6493955094991365,NA,1.2642487046632125,1.012089810017271,0.4835924006908463,1.150259067357513,0.8773747841105354,0.4697754749568221,1.381692573402418,0.21934369602763384,6.0449050086355784,NA,0.6044905008635578,10.362694300518134,7.772020725388601,16.407599309153714,1.7271157167530224,2.0725388601036268,0.17962003454231434,51.81347150259067,8.635578583765112,NA,NA,7.979274611398964,77.55785837651122,109.37503084135209,NA,NA,NA,NA,NA,NA
Unity,Koch,Koch Town,NA,NA,0.7982261640798226,3.4696230598669624,NA,3.4128603104212862,3.1325942350332596,1.7738359201773837,4.25720620842572,0.5924611973392461,NA,NA,NA,NA,1.7738359201773837,NA,NA,NA,0.5889135254988913,NA,NA,NA,NA,19.11130820399113,100.17915742793791,147.7975926512512,NA,NA,NA,NA,NA,NA
Unity,Panyijiar,Nyal,0.716629711751663,0.8478935698447894,1.7986696230598669,1.4368070953436807,NA,1.4155210643015521,1.372949002217295,0.7237250554323725,2.483370288248337,0.17738359201773837,1.5964523281596452,10.643015521064301,0.7095343680709535,NA,12.9490022172949,24.83370288248337,NA,0.31042128603104213,0.823059866962306,NA,NA,NA,NA,11.88470066518847,92.86031042128603,145.0126702565727,NA,NA,NA,NA,NA,NA
Unity,Pariang,AjuongThok_RC,0.4131147540983607,NA,1.3934426229508197,1.3114754098360655,NA,0.6557377049180327,1.3114754098360655,0.9836065573770492,0.9836065573770492,0.32786885245901637,NA,NA,0.819672131147541,4.918032786885246,NA,NA,4.918032786885246,0.32786885245901637,0.10655737704918032,NA,NA,0.07540983606557378,NA,8.714754098360656,49.967213114754095,82.61358313817331,NA,NA,NA,NA,NA,NA
Unity,Pariang,Jamjang,0.22350332594235034,NA,1.419068736141907,2.12860310421286,0.98980044345898,0.35476718403547675,0.7095343680709535,1.06430155210643,2.838137472283814,0.35476718403547675,NA,NA,0.7095343680709535,NA,NA,NA,NA,NA,0.10288248337028826,30.155210643015522,2.12860310421286,0.10288248337028826,NA,10.437250554323725,41.40133037694013,73.01267025657269,NA,NA,NA,NA,NA,NA
Unity,Pariang,Pamir_RC,0.4470066518847007,NA,1.419068736141907,2.12860310421286,0.98980044345898,0.35476718403547675,0.7095343680709535,1.06430155210643,2.12860310421286,0.35476718403547675,1.06430155210643,NA,0.7095343680709535,NA,NA,NA,NA,NA,0.10288248337028826,NA,NA,0.10288248337028826,NA,9.951219512195122,57.25942350332594,88.8707633829585,NA,NA,NA,NA,NA,NA
Unity,Rubkona,Bentiu,0.3009623797025372,1.0673665791776028,1.7007874015748032,1.9702537182852145,0.4899387576552931,2.404199475065617,1.6027996500437445,1.0498687664041995,2.099737532808399,0.34995625546806647,1.837270341207349,5.16185476815398,0.7349081364829396,NA,19.247594050743658,12.248468941382328,4.286964129483814,2.6246719160104988,0.2099737532808399,24.496937882764655,3.674540682414698,0.12598425196850394,NA,12.68591426071741,62.37270341207349,97.67041619797524,NA,NA,NA,NA,NA,NA
Unity,Rubkona,Rubkona Town,0.1762114537444934,0.5497797356828193,1.7374449339207048,1.5859030837004404,0.7365638766519824,2.343612334801762,1.6669603524229075,1.0572687224669604,2.1145374449339207,0.3524229074889868,2.995594713656388,5.1982378854625555,0.8810572687224669,NA,23.788546255506606,15.859030837004406,4.933920704845815,2.8193832599118944,0.25022026431718064,22.90748898678414,5.5506607929515415,0.12687224669603525,NA,11.96828193832599,50.69603524229075,88.97734424166141,NA,NA,NA,NA,NA,NA
