State,County,Location,"Sorghum grain
(1 kg)","Maize grain
(1 kg)","Wheat flour
(1 kg)","Rice
(1 kg)","Groundnuts
(1 kg)","Beans
(1 kg)","Sugar
(1 kg)","Salt
(1 kg)","Cooking oil
(1 kg)","Soap
(200 g)","Jerrycan
(1 pc)","Mosquito net
(1 pc)","Exercise book
(1 pc)","Blanket
(1 pc)","Cooking pot
(1 pc)","Plastic sheet
(1 pc)","Pole
(1 pc)","Firewood
(1 bundle)","Charcoal
(1 kg)",Goat,Chicken,"Milling costs
(1 kg)",...26,Food price index,MSSMEB food basket,MSSMEB
NA,NA,MEDIAN,0.4755905511811024,0.6299212598425197,1.220472440944882,1.1228346456692913,1.0771653543307087,1.4960629921259843,1.0834645669291338,0.6299212598425197,1.7322834645669292,0.31496062992125984,1.2598425196850394,4.330708661417323,0.5590551181102362,13.385826771653543,13.858267716535433,16.53543307086614,1.968503937007874,1.6535433070866141,0.21496062992125983,39.37007874015748,6.141732283464567,0.08031496062992126,NA,9.669291338582678,73.97637795275591,109.30134983127107
CentralEquatoria,Juba,Juba Town,0.5454545454545454,0.5454545454545454,0.9090909090909091,0.7575757575757576,NA,1.4393939393939394,0.7272727272727273,0.6060606060606061,1.2121212121212122,0.1606060606060606,0.6818181818181818,6.363636363636363,0.6060606060606061,11.515151515151516,6.0606060606060606,12.272727272727273,2.4242424242424243,1.9696969696969697,0.2409090909090909,56.06060606060606,10.606060606060606,0.06060606060606061,NA,7.778787878787878,69.92424242424242,102.90735930735931
EasternEquatoria,Magwi,Nimule,0.37894736842105264,0.3609022556390977,0.7518796992481203,1.0165413533834586,1.681203007518797,1.3323308270676693,0.9714285714285714,0.6015037593984962,1.2030075187969924,0.20150375939849624,1.2030075187969924,6.7669172932330826,0.15037593984962405,12.030075187969924,7.518796992481203,10.526315789473685,1.8045112781954886,1.5037593984962405,0.17443609022556392,NA,7.518796992481203,0.06015037593984962,NA,8.297744360902255,52.29172932330827,78.05392051557466
EasternEquatoria,Torit,Torit Town,1.25,1.40625,0.6875,0.9375,0.353125,1.25,0.9375,0.459375,1.875,0.209375,0.625,NA,0.65625,14.0625,11.0234375,12.5,0.78125,1.953125,0.153125,NA,NA,0.2890625,NA,9.15625,149.521875,182.72455357142857
Jonglei,Akobo,Akobo Town,0.8590163934426229,1.019672131147541,2.3081967213114756,1.8459016393442622,NA,NA,2.00327868852459,1.1114754098360655,3.278688524590164,0.6557377049180327,2.622950819672131,2.622950819672131,NA,NA,NA,16.39344262295082,2.2950819672131146,2.9508196721311477,0.6786885245901639,22.950819672131146,NA,0.2819672131147541,NA,15.104918032786886,112.11147540983606,162.80702576112412
Jonglei,BorSouth,Bor_PoC,0.5039370078740157,NA,0.8881889763779528,0.7086614173228346,1.678740157480315,1.4661417322834647,1.0173228346456693,0.6299212598425197,1.889763779527559,0.28818897637795277,0.9448818897637795,NA,1.1023622047244095,NA,NA,15.748031496062993,NA,1.889763779527559,0.2740157480314961,NA,NA,0.31496062992125984,NA,9.412598425196851,70.51811023622047,113.3957255343082
Jonglei,TwicEast,Panyagor,NA,NA,1.9672131147540983,0.9229508196721311,NA,2.180327868852459,1.7639344262295082,0.9836065573770492,1.5311475409836066,0.2721311475409836,1.1475409836065573,3.442622950819672,0.32786885245901637,NA,9.836065573770492,22.950819672131146,NA,1.9672131147540983,0.28524590163934427,60.65573770491803,7.377049180327869,0.4918032786885246,NA,11.621311475409836,74.35081967213115,109.69086651053865
Jonglei,Uror,Pieri,0.47244094488188976,NA,NA,NA,NA,NA,NA,2.1354330708661418,3.1496062992125986,0.6299212598425197,NA,NA,NA,NA,NA,NA,1.0236220472440944,1.5748031496062993,NA,NA,NA,NA,NA,12.38740157480315,77.01732283464567,111.64274465691788
Lakes,Awerial,Mingkaman,0.6299212598425197,NA,1.1023622047244095,1.0551181102362204,0.9448818897637795,1.5748031496062993,0.9448818897637795,0.9448818897637795,1.889763779527559,0.31496062992125984,0.9448818897637795,1.968503937007874,0.9448818897637795,9.448818897637794,9.448818897637794,22.04724409448819,1.968503937007874,2.5196850393700787,0.2173228346456693,27.559055118110237,6.299212598425197,0.6299212598425197,NA,9.716535433070867,83.14960629921259,125.29696287964005
Lakes,RumbekCentre,Rumbek Town,0.346875,0.45,0.9375,1.171875,0.296875,1.875,1.046875,0.625,1.40625,0.209375,2.8125,3.90625,0.390625,NA,12.1875,14.0625,0.703125,0.15625,NA,29.6875,5.625,0.0625,NA,8.15625,57.15625,87.03415178571429
