State,County,Location,"Sorghum grain
(1 kg)","Maize grain
(1 kg)","Wheat flour
(1 kg)","Rice
(1 kg)","Groundnuts
(1 kg)","Beans
(1 kg)","Sugar
(1 kg)","Salt
(1 kg)","Cooking oil
(1 kg)","Soap
(200 g)","Jerrycan
(1 pc)","Mosquito net
(1 pc)","Exercise book
(1 pc)","Blanket
(1 pc)","Cooking pot
(1 pc)","Plastic sheet
(1 pc)","Pole
(1 pc)","Firewood
(1 bundle)","Charcoal
(1 kg)",Goat,Chicken,"Milling costs
(1 kg)",...26,Food price index,MSSMEB food basket,MSSMEB
NA,NA,MEDIAN,0.46332046332046334,0.7382239382239382,1.2355212355212355,1.4671814671814671,0.8478764478764479,1.4671814671814671,1.2355212355212355,0.7258687258687259,1.8532818532818534,0.3088803088803089,1.38996138996139,4.633204633204633,0.6177606177606177,10.81081081081081,10.81081081081081,17.76061776061776,2.1621621621621623,0.9266409266409267,0.2671814671814672,30.888030888030887,5.328185328185328,0.07876447876447877,NA,10.671814671814673,65.75135135135135,103.10093767236624
CentralEquatoria,Juba,Juba Town,0.427480916030534,0.488549618320611,0.7786259541984732,0.8396946564885496,1.282442748091603,1.5267175572519085,0.7633587786259542,0.48854961832061067,1.22137404580153,0.15267175572519084,0.7633587786259542,2.4427480916030535,0.6106870229007634,8.091603053435115,5.343511450381679,9.923664122137405,2.519083969465649,0.8396946564885496,0.35419847328244275,45.80152671755725,10.687022900763358,0.061068702290076333,NA,7.816793893129771,65.52671755725191,101.92039258451473
EasternEquatoria,KapoetaSouth,Kapoeta Town,0.311969111969112,0.5158301158301158,0.7722007722007722,0.694980694980695,1.7266409266409266,0.6857142857142857,0.6640926640926641,0.29343629343629346,0.6177606177606177,0.20694980694980694,0.7722007722007722,NA,0.9266409266409267,10.81081081081081,12.355212355212355,14.671814671814673,3.088803088803089,1.5444015444015444,0.3583011583011583,24.71042471042471,3.088803088803089,0.09266409266409266,NA,6.282625482625483,56.596138996139,97.50082735797022
EasternEquatoria,Magwi,Nimule,0.3847328244274809,0.366412213740458,0.7633587786259542,1.3740458015267176,1.7068702290076336,1.3526717557251908,1.3129770992366412,0.6106870229007634,1.2213740458015268,0.20458015267175572,1.1450381679389312,4.580152671755725,0.16793893129770993,10.687022900763358,7.633587786259542,11.450381679389313,1.5267175572519085,1.5267175572519085,0.17709923664122137,NA,8.396946564885496,0.061068702290076333,NA,9.093129770992366,53.09007633587786,79.16924754634678
EasternEquatoria,Torit,Torit Town,0.8955223880597015,1.3432835820895523,0.6567164179104478,0.8955223880597015,0.3940298507462687,1.3432835820895523,1.2686567164179106,0.3940298507462687,1.492537313432836,0.1791044776119403,0.5970149253731343,10.82089552238806,0.5970149253731343,13.432835820895523,10.447761194029852,11.417910447761194,1.3432835820895523,1.9402985074626866,0.19402985074626866,NA,9.253731343283581,0.29850746268656714,NA,8.683582089552239,142.33432835820895,175.95266524520255
Jonglei,Akobo,Akobo Town,0.9292307692307692,0.8830769230769231,2.166153846153846,1.7323076923076923,NA,1.7046153846153846,1.5661538461538462,1.043076923076923,3.076923076923077,0.46153846153846156,2.769230769230769,3.076923076923077,NA,NA,15.384615384615385,20,2.1538461538461537,3.6923076923076925,0.5107692307692308,NA,NA,0.26461538461538464,NA,13.946153846153846,118.47692307692307,163.221978021978
Jonglei,BorSouth,Bor_PoC,0.46332046332046334,NA,0.871042471042471,0.694980694980695,1.6463320463320463,1.3683397683397684,0.8648648648648649,0.6177606177606177,1.8532818532818534,0.3088803088803089,NA,NA,0.7722007722007722,NA,NA,NA,NA,0.9266409266409267,0.27335907335907333,NA,NA,0.3088803088803089,NA,9.118146718146718,65.75135135135135,104.71936017650303
Jonglei,Fangak,NewFangak,2.552380952380952,NA,1.7873015873015874,1.8587301587301588,NA,NA,1.8428571428571427,0.6476190476190476,0.7396825396825397,0.4222222222222222,NA,NA,NA,NA,NA,NA,0.6349206349206349,0.15873015873015872,0.24126984126984127,31.746031746031747,1.9047619047619047,0.18095238095238095,NA,12.566666666666666,248.37142857142857,284.31292517006807
Jonglei,Nyirol,Lankien,1,0.8333333333333334,2.816666666666667,2.2533333333333334,NA,2.216666666666667,2.15,1.3566666666666667,3.6666666666666665,0.7766666666666666,NA,5,NA,NA,8.333333333333334,NA,2.3333333333333335,2.3333333333333335,0.5533333333333333,13.333333333333334,NA,0.30833333333333335,NA,17.208333333333332,133.30666666666667,182.20952380952383
Jonglei,Pibor,Pibor Town,NA,NA,2.1875,2.8125,NA,2.8125,2.1875,1.5625,1.875,NA,NA,NA,NA,NA,NA,NA,NA,0.703125,0.63125,46.875,9.375,0.103125,NA,15.5109375,38.125,84.32142857142857
Jonglei,TwicEast,Panyagor,NA,NA,1.5873015873015872,0.7142857142857143,NA,1.934920634920635,1.3285714285714285,0.7936507936507936,1.9047619047619047,0.2126984126984127,0.6349206349206349,4.761904761904762,0.31746031746031744,NA,9.523809523809524,15.873015873015873,1.5873015873015872,1.9047619047619047,0.2761904761904762,63.492063492063494,6.349206349206349,NA,NA,10.36984126984127,29.636507936507936,60.70181405895691
Jonglei,Uror,Yuai,0.7096774193548387,NA,NA,2.5806451612903225,NA,0.3225806451612903,3.225806451612903,2.5806451612903225,1.6129032258064515,0.8612903225806452,NA,7.258064516129032,NA,NA,7.903225806451613,16.129032258064516,1.935483870967742,2.5806451612903225,0.27741935483870966,NA,NA,NA,NA,13.979032258064516,79.03225806451613,117.96958525345622
Lakes,Awerial,Mingkaman,0.6177606177606177,NA,1.0810810810810811,1.0038610038610039,2.372200772200772,1.5444015444015444,0.9266409266409267,0.6177606177606177,1.8532818532818534,0.3088803088803089,0.9266409266409267,1.8532818532818534,1.2355212355212355,9.266409266409266,11.583011583011583,21.62162162162162,4.633204633204633,3.088803088803089,0.5127413127413127,26.254826254826256,9.266409266409266,0.15444015444015444,NA,10.755212355212356,81.23552123552123,131.62107004964147
Lakes,RumbekCentre,Rumbek Town,1.5384615384615385,1.8461538461538463,0.8923076923076924,1.0769230769230769,0.5169230769230769,1.8461538461538463,0.9230769230769231,0.676923076923077,2.0523076923076924,0.20615384615384616,2.6153846153846154,3.076923076923077,0.3076923076923077,NA,10.76923076923077,15.076923076923077,0.7692307692307693,1.5384615384615385,0.8923076923076924,76.92307692307692,5.615384615384615,0.06153846153846154,NA,11.36923076923077,168.0676923076923,217.2936263736264
NorthernBahrelGhazal,AweilEast,Wanyjok,0.3507692307692308,1.0769230769230769,0.3076923076923077,1.2307692307692308,0.40923076923076923,0.3076923076923077,0.7692307692307693,0.6153846153846154,0.96,0.20615384615384616,1.5384615384615385,NA,0.3076923076923077,NA,15.384615384615385,16.923076923076923,1.0769230769230769,0.3076923076923077,0.2553846153846154,28.46153846153846,NA,0.08923076923076922,NA,6.027692307692308,40.713846153846156,71.06945054945055
Unity,Koch,Koch Town,NA,NA,2.674903474903475,3.0208494208494208,NA,NA,2.7274131274131275,1.6988416988416988,3.088803088803089,0.5158301158301158,NA,NA,1.0810810810810811,NA,NA,NA,3.088803088803089,NA,0.5127413127413127,NA,NA,NA,NA,16.727413127413126,33.43629343629344,82.56161059018201
Unity,Panyijiar,Nyal,0.7474903474903475,0.7382239382239382,1.4362934362934363,1.250965250965251,NA,1.0285714285714285,1.1953667953667955,0.6301158301158302,2.1621621621621623,0.3088803088803089,1.5444015444015444,NA,0.46332046332046334,NA,10.81081081081081,NA,NA,0.2702702702702703,0.3583011583011583,NA,NA,NA,NA,10.037065637065638,90.13436293436294,125.97164920022063
Unity,Pariang,AjuongThok_RC,0.7633587786259542,NA,1.2213740458015268,1.83206106870229,0.8519083969465648,1.83206106870229,1.5267175572519085,0.9770992366412213,0.815267175572519,0.2534351145038168,1.3740458015267176,NA,0.4580152671755725,4.580152671755725,NA,21.374045801526716,4.580152671755725,0.4580152671755725,0.10381679389312977,NA,NA,0.051908396946564885,NA,10.549618320610687,91.05954198473282,118.63576881134132
Unity,Pariang,Jamjang,0.3891891891891892,NA,1.38996138996139,2.471042471042471,0.8617760617760618,0.6857142857142857,0.7722007722007722,0.9266409266409267,2.471042471042471,0.3088803088803089,NA,NA,0.6177606177606177,NA,NA,NA,NA,NA,0.08957528957528957,23.166023166023166,2.1621621621621623,0.07104247104247104,NA,10.705791505791506,56.95135135135135,86.51395477109763
Unity,Pariang,Pamir_RC,0.3891891891891892,NA,1.38996138996139,2.471042471042471,0.8617760617760618,0.5142857142857142,0.7722007722007722,1.111969111969112,1.2355212355212355,0.46332046332046334,1.8532818532818534,NA,0.6177606177606177,NA,NA,NA,NA,NA,0.08957528957528957,NA,NA,0.043243243243243246,NA,9.484169884169884,48.18069498069498,78.43166023166023
Unity,Rubkona,Bentiu,0.7474903474903475,1.2926640926640927,1.738996138996139,1.633976833976834,0.8478764478764479,2.054054054054054,0.9698841698841699,0.7783783783783784,2.471042471042471,0.1498069498069498,2.1621621621621623,5.8687258687258685,0.6177606177606177,17.76061776061776,23.93822393822394,21.62162162162162,2.3166023166023164,2.393822393822394,0.34594594594594597,44.01544401544402,4.015444015444015,NA,NA,12.534362934362935,101.36525096525097,137.73072255929398
Unity,Rubkona,Rubkona Town,NA,NA,1.153030303030303,1.0242424242424242,0.5621212121212121,1.6787878787878787,0.6348484848484849,0.9090909090909091,2.878787878787879,0.403030303030303,2.803030303030303,4.696969696969697,0.6818181818181818,NA,25,18.939393939393938,4.696969696969697,2.272727272727273,0.19393939393939394,48.484848484848484,5.757575757575758,NA,NA,10.01969696969697,99.2909090909091,133.37142857142857
UpperNile,Fashoda,Aburoc,0.31496062992125984,NA,NA,NA,NA,NA,1.2598425196850394,NA,3.1496062992125986,0.7559055118110236,1.1811023622047243,NA,NA,NA,7.874015748031496,NA,NA,NA,NA,22.04724409448819,2.5196850393700787,0.13543307086614173,NA,11.333858267716536,61.44881889763779,99.87739032620922
UpperNile,LuakpinyNasir,Kurenge,7.428571428571429,NA,16,25.714285714285715,NA,NA,11.714285714285714,7.714285714285714,40,5.714285714285714,NA,42.857142857142854,4.285714285714286,NA,NA,342.85714285714283,28.571428571428573,2.857142857142857,4.857142857142857,NA,28.571428571428573,0.2857142857142857,NA,13.68142857142857,103.84285714285714,144.23061224489794
