State,County,Location,Sorghum.grain,Maize.grain,Wheat.flour,Rice,Groundnuts,Beans,Sugar,Salt,Cooking.oil,Soap,Jerrycan,Mosquito.net,Exercise.book,Blanket,Cooking.pot,Plastic.sheet,Pole,Firewood,Charcoal,Goat,Chicken,Milling.costs,...26,Food.price.index,MSSMEB.food.basket,MSSMEB
NA,NA,MEDIAN,0.5757142857142857,0.54,1.2142857142857142,1.2857142857142858,0.6485714285714286,1.6485714285714286,1.1428571428571428,0.6014285714285714,1.6,0.2857142857142857,1.4285714285714286,4.285714285714286,0.5142857142857142,10,10.785714285714286,16.857142857142858,1.8571428571428572,0.9114285714285715,0.19714285714285715,34.285714285714285,4.285714285714286,0.08285714285714285,NA,9.824285714285715,77.95285714285714,115.04352040816327
CentralEquatoria,Juba,Juba Town,0.49382716049382713,0.48010973936899864,0.823045267489712,1.0973936899862826,0.45267489711934156,1.7832647462277091,0.7956104252400549,0.5486968449931413,1.0521262002743483,0.18381344307270234,0.6858710562414266,4.11522633744856,0.27434842249657065,10.699588477366255,8.23045267489712,13.717421124828531,4.11522633744856,3.429355281207133,0.39780521262002744,NA,10.973936899862826,0.06858710562414266,NA,7.526748971193416,66.12071330589849,100.03782088967273
EasternEquatoria,Budi,Chukudum,NA,NA,1.1864406779661016,0.9542372881355933,NA,1.0169491525423728,0.7288135593220338,0.6915254237288135,1.694915254237288,0.28135593220338984,1.0169491525423728,2.0338983050847457,0.3389830508474576,8.474576271186441,11.864406779661017,NA,0.6779661016949152,1.0169491525423728,0.23389830508474577,16.949152542372882,3.389830508474576,0.05084745762711865,NA,8.366101694915255,NA,NA
EasternEquatoria,KapoetaEast,Narus,0.48970588235294116,0.6661764705882353,0.7352941176470589,0.6617647058823529,0.8205882352941176,0.6529411764705882,0.6323529411764706,0.29411764705882354,2.9411764705882355,0.19705882352941176,2.3529411764705883,1.7647058823529411,0.8088235294117647,39.705882352941174,7.352941176470588,18.38235294117647,2.9411764705882355,1.7647058823529411,0.15294117647058825,63.23529411764706,2.9411764705882355,0.06764705882352941,NA,7.894117647058824,83.77352941176471,116.8298319327731
EasternEquatoria,Lafon,Longiro,1.7037037037037037,NA,NA,1.3333333333333333,0.9629629629629629,NA,1.4074074074074074,0.5985185185185186,0.5437037037037037,0.27111111111111114,NA,NA,NA,NA,NA,NA,0.37037037037037035,0.9451851851851852,0.1274074074074074,25.185185185185187,3.7037037037037037,NA,NA,10.078518518518518,69.64740740740741,99.23280423280423
EasternEquatoria,Magwi,Magwi Town,0.38181818181818183,0.36363636363636365,0.7575757575757576,1.0242424242424242,1.481818181818182,1.3424242424242425,0.9787878787878788,0.6060606060606061,1.009090909090909,0.15606060606060607,1.4393939393939394,4.545454545454546,0.45454545454545453,6.0606060606060606,7.575757575757576,13.636363636363637,NA,0.9090909090909091,0.17575757575757575,NA,NA,0.038636363636363635,NA,7.945454545454545,51.46969696969697,80.46450216450216
EasternEquatoria,Magwi,Nimule,0.4821917808219178,0.6547945205479452,0.821917808219178,1.2328767123287672,1.9123287671232876,2.126027397260274,1.178082191780822,0.6575342465753424,1.095890410958904,0.18356164383561643,1.2328767123287672,4.109589041095891,0.273972602739726,3.9726027397260273,4.109589041095891,11.643835616438356,0.410958904109589,1.36986301369863,0.23835616438356164,NA,7.671232876712328,0.0547945205479452,NA,10.161643835616438,85.2986301369863,114.30802348336596
EasternEquatoria,Torit,Torit Town,0.4114285714285714,0.5085714285714286,0.8571428571428571,1.1428571428571428,0.54,1.2857142857142858,0.8571428571428571,0.37714285714285717,1.3342857142857143,0.16,0.5357142857142857,9.714285714285714,0.7142857142857143,12.857142857142858,9.928571428571429,12.857142857142858,2.2142857142857144,1.7142857142857142,0.26,NA,NA,0.2,NA,7.314285714285714,65.72571428571429,101.77142857142857
Jonglei,Akobo,Akobo Town,0.6622950819672131,NA,2.3081967213114756,1.8459016393442622,NA,NA,1.7639344262295082,1.1114754098360655,3.278688524590164,0.6557377049180327,2.622950819672131,3.278688524590164,NA,NA,NA,19.672131147540984,2.622950819672131,2.9508196721311477,0.6786885245901639,NA,NA,0.2819672131147541,NA,14.226229508196722,97.41639344262295,148.2103044496487
Jonglei,BorSouth,Bor Town,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7571428571428571,0.35714285714285715,0.5714285714285714,0.8571428571428571,0.8571428571428571,1.4285714285714286,0.5714285714285714,NA,4.285714285714286,0.8571428571428571,NA,NA,12.857142857142858,NA,NA,NA,NA,NA,NA,NA,6.542857142857143,53.142857142857146,90.48163265306123
Jonglei,BorSouth,Bor_PoC,0.64,NA,0.8057142857142857,0.6428571428571429,3.1914285714285713,1.2657142857142858,0.6142857142857143,0.38857142857142857,0.5714285714285714,0.23714285714285716,NA,NA,NA,NA,NA,NA,NA,0.42857142857142855,0.3314285714285714,NA,NA,0.08285714285714285,NA,8.66,72.80857142857143,108.05591836734693
Jonglei,Fangak,NewFangak,1.0170542635658915,1.0046511627906978,1.745736434108527,1.4728682170542635,NA,NA,1.3333333333333333,0.6325581395348837,2.4806201550387597,0.4124031007751938,1.550387596899225,4.651162790697675,NA,NA,NA,NA,0.31007751937984496,0.3875968992248062,0.17984496124031008,NA,NA,1.550387596899225,NA,12.17984496124031,123.15348837209302,168.00996677740866
Jonglei,Nyirol,Lankien,0.5125,0.50625,1.321875,1.40625,NA,1.384375,1.34375,0.846875,3.125,0.46875,NA,4.6875,NA,NA,10.9375,NA,2.5,2.1875,0.484375,15.625,3.125,0.2671875,NA,11.15625,78.18125,121.56517857142858
Jonglei,TwicEast,Wanglei,0.44857142857142857,0.37,1.7428571428571429,1.3971428571428572,NA,2.06,1.3314285714285714,0.42,2,0.2857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.418571428571429,71.33142857142857,102.84163265306123
Lakes,Awerial,Mingkaman,0.8571428571428571,NA,1.2142857142857142,1.0714285714285714,0.8571428571428571,1.7142857142857142,1,1.1428571428571428,1.8571428571428572,0.31,1,5,1.4285714285714286,11.428571428571429,12.142857142857142,21.428571428571427,NA,NA,0.4742857142857143,22.142857142857142,NA,0.26571428571428574,NA,10.254285714285714,104.85714285714286,157.36612244897958
Lakes,Cueibet,Cueibet Town,NA,NA,NA,1.4134275618374559,NA,3.392226148409894,0.7915194346289752,0.5653710247349824,1.4134275618374559,0.23462897526501766,2.8268551236749118,2.3321554770318023,1.4134275618374559,4.240282685512367,12.720848056537102,12.720848056537102,0.9893992932862191,0.8480565371024735,0.14416961130742048,36.042402826855124,6.219081272084805,0.5300353356890459,NA,10.522968197879859,75.19434628975264,119.43149924280665
Lakes,RumbekCentre,Rumbek Town,0.4,0.4857142857142857,1.1428571428571428,NA,0.44285714285714284,2.142857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4285714285714286,NA,NA,NA,NA,NA,NA,9.244285714285715,65.48714285714286,96.99734693877551
Lakes,RumbekEast,Aduel,NA,0.8571428571428571,0.9428571428571428,1.1428571428571428,NA,2.142857142857143,1.0285714285714285,1.1428571428571428,1.7142857142857142,0.2857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.285714285714285,NA,0.35714285714285715,NA,10.195714285714285,107.85714285714286,141.71836734693878
Lakes,YirolWest,Yirol Town,0.3971631205673759,0.28368794326241137,0.8595744680851064,0.851063829787234,0.3404255319148936,1.0070921985815602,0.851063829787234,0.7943262411347518,1.702127659574468,0.1900709219858156,2.9078014184397163,5.673758865248227,0.5673758865248227,9.929078014184396,8.51063829787234,14.184397163120567,1.702127659574468,1.702127659574468,0.19574468085106383,35.177304964539005,6.099290780141844,0.05673758865248227,NA,7.0865248226950355,55.815602836879435,87.12320162107396
