admin.level,admin.pcode,admin.name,maize_price_per_unit,sorghum_price_per_unit,teff_price_per_unit,wheat_price_per_unit,barley_price_per_unit,enset_price_per_unit,rice_price_per_unit,beef_price_per_unit,mutton_price_per_unit,goat_meat_price_per_unit,vegetables_leafy_darkgreen_price_per_unit,cooking_oil_price_per_unit,bath_soap_price_per_unit,bleach_price_per_unit,water_price_per_unit,water_5km_price_per_unit,water_10km_price_per_unit,maize_price_per_unit.USD,sorghum_price_per_unit.USD,teff_price_per_unit.USD,wheat_price_per_unit.USD,barley_price_per_unit.USD,enset_price_per_unit.USD,rice_price_per_unit.USD,beef_price_per_unit.USD,mutton_price_per_unit.USD,goat_meat_price_per_unit.USD,vegetables_leafy_darkgreen_price_per_unit.USD,cooking_oil_price_per_unit.USD,bath_soap_price_per_unit.USD,bleach_price_per_unit.USD,water_price_per_unit.USD,water_5km_price_per_unit.USD,water_10km_price_per_unit.USD
Woreda,ET050703,Galadi,NA,NA,NA,NA,NA,NA,30,NA,240,240,55,70,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,6.33,6.33,1.45,1.85,NA,0.79,NA,NA,NA
Woreda,ET050704,Warder,NA,NA,NA,35,NA,NA,26,NA,NA,NA,NA,63.5,15,47.5,NA,NA,NA,NA,NA,NA,0.92,NA,NA,0.69,NA,NA,NA,NA,1.67,0.4,1.25,NA,NA,NA
Woreda,ET050788,Daratole,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA
Woreda,ET050798,Lehel-Yucub,NA,NA,NA,22.5,NA,NA,26.5,NA,NA,NA,50,64,NA,60,NA,NA,NA,NA,NA,NA,0.59,NA,NA,0.7,NA,NA,NA,1.32,1.69,NA,1.58,NA,NA,NA
Woreda,ET050799,Galhamur,NA,NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,NA,NA,NA,NA,1.69,NA,NA,NA,NA,NA
Woreda,ET050808,Dolobay,NA,15.38,NA,NA,NA,NA,45,NA,NA,NA,20,85,17.5,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,1.19,NA,NA,NA,0.53,2.24,0.46,NA,NA,NA,NA
Woreda,ET050901,Filtu,15,15,NA,15,NA,NA,NA,220,220,240,NA,70,NA,NA,NA,NA,NA,0.4,0.4,NA,0.4,NA,NA,NA,5.8,5.8,6.33,NA,1.85,NA,NA,NA,NA,NA
Woreda,ET050903,Goro Baqaqsa,NA,20,NA,30,NA,NA,45,200,NA,180,40,90,NA,NA,NA,NA,NA,NA,0.53,NA,0.79,NA,NA,1.19,5.27,NA,4.75,1.05,2.37,NA,NA,NA,NA,NA
Woreda,ET050904,Guradamole,15,15,NA,15,NA,NA,40,NA,NA,250,30,75,NA,NA,NA,NA,NA,0.4,0.4,NA,0.4,NA,NA,1.05,NA,NA,6.59,0.79,1.98,NA,NA,NA,NA,NA
Woreda,ET050991,Deka Suftu,15,15,NA,32,NA,NA,NA,NA,NA,240,30,72,NA,NA,NA,NA,NA,0.4,0.4,NA,0.84,NA,NA,NA,NA,NA,6.33,0.79,1.9,NA,NA,NA,NA,NA
Woreda,ET051104,Hudet,NA,NA,NA,33,NA,NA,40,280,275,300,40,80,25,15,NA,NA,NA,NA,NA,NA,0.87,NA,NA,1.05,7.38,7.25,7.91,1.05,2.11,0.66,0.4,NA,NA,NA
Woreda,ET060303,Assosa,12,14,43,20,NA,NA,NA,255,320,320,30,65,10,10,NA,NA,NA,0.32,0.37,1.13,0.53,NA,NA,NA,6.72,8.44,8.44,0.79,1.71,0.26,0.26,NA,NA,NA
Woreda,ET060305,Bambasi,12.5,12,43,24,NA,NA,NA,220,280,280,NA,90,12,10,NA,NA,NA,0.33,0.32,1.13,0.63,NA,NA,NA,5.8,7.38,7.38,NA,2.37,0.32,0.26,NA,NA,NA
Woreda,ET060307,Homosha,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,85,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22,NA,NA,NA,2.24,0.32,0.26,NA,NA,NA
Woreda,ET060508,Maokomo Special,NA,NA,43,NA,NA,NA,NA,200,NA,NA,NA,90,12,15,NA,NA,NA,NA,NA,1.13,NA,NA,NA,NA,5.27,NA,NA,NA,2.37,0.32,0.4,NA,NA,NA
Woreda,ET070502,Yirgachefe,10,NA,40,NA,NA,40,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,0.26,NA,1.05,NA,NA,1.05,NA,NA,NA,NA,NA,NA,0.13,0.13,NA,NA,NA
Woreda,ET070503,Kochere,9,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,10,5,NA,NA,NA,0.24,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,0.26,0.13,NA,NA,NA
Woreda,ET070506,Gedeb,14,NA,48,NA,20,NA,NA,NA,NA,NA,40,NA,12,NA,NA,NA,NA,0.37,NA,1.27,NA,0.53,NA,NA,NA,NA,NA,1.05,NA,0.32,NA,NA,NA,NA
Woreda,ET070511,Gedeb town,14,NA,48,NA,20,NA,NA,NA,NA,NA,60,NA,12,NA,NA,NA,NA,0.37,NA,1.27,NA,0.53,NA,NA,NA,NA,NA,1.58,NA,0.32,NA,NA,NA,NA
Woreda,ET070512,Yirgachefe town,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Woreda,ET070603,Damot Woide,10,NA,40,NA,NA,40,NA,NA,NA,NA,20,60,10,10,NA,NA,NA,0.26,NA,1.05,NA,NA,1.05,NA,NA,NA,NA,0.53,1.58,0.26,0.26,NA,NA,NA
Woreda,ET070604,Humbo,10,NA,35,NA,17.5,NA,NA,305,310,340,10.5,63.5,12,12,NA,NA,NA,0.26,NA,0.92,NA,0.46,NA,NA,8.04,8.17,8.97,0.28,1.67,0.32,0.32,NA,NA,NA
Woreda,ET070616,Tebela town,11,NA,38,NA,NA,NA,NA,320,NA,330,16,65,12,NA,NA,NA,NA,0.29,NA,1,NA,NA,NA,NA,8.44,NA,8.7,0.42,1.71,0.32,NA,NA,NA,NA
Woreda,ET070621,Abela Abaya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.38,NA,NA,NA
